"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Panama","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1694.0","599.0","1094.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","100.0","44.0","56.0","-"
"25-34 years","415.0","165.0","250.0","-"
"35-44 years","536.0","161.0","374.0","1.0"
"45-54 years","334.0","108.0","226.0","-"
"55-64 years","201.0","77.0","124.0","-"
"65 years and over","108.0","44.0","64.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","292.0","140.0","152.0","-"
"Married","1089.0","375.0","714.0","-"
"Other","292.0","80.0","212.0","-"
"Unknown","21.0","4.0","16.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","212.0","72.0","140.0","-"
"Service occupations","73.0","18.0","55.0","-"
"Sales and office occupations","117.0","26.0","91.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","9.0","D","D","-"
"Production, transportation, and material moving occupations","66.0","30.0","36.0","-"
"Military","35.0","D","D","-"
"No occupation/not working outside home","202.0","59.0","143.0","-"
"Homemakers","35.0","D","D","-"
"Students or children","117.0","37.0","80.0","-"
"Retirees","23.0","D","D","-"
"Unemployed","27.0","12.0","15.0","-"
"Unknown","980.0","358.0","621.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","20.0","8.0","12.0","-"
"California","173.0","65.0","108.0","-"
"Colorado","16.0","D","D","-"
"Connecticut","12.0","5.0","7.0","-"
"Florida","375.0","160.0","215.0","-"
"Georgia","87.0","22.0","65.0","-"
"Illinois","23.0","12.0","11.0","-"
"Maryland","48.0","21.0","27.0","-"
"Massachusetts","22.0","9.0","13.0","-"
"Minnesota","9.0","4.0","5.0","-"
"Nevada","14.0","4.0","10.0","-"
"New Jersey","45.0","24.0","21.0","-"
"New York","251.0","100.0","151.0","-"
"North Carolina","87.0","15.0","72.0","-"
"Ohio","12.0","D","D","-"
"Pennsylvania","23.0","3.0","20.0","-"
"Texas","157.0","47.0","110.0","-"
"Virginia","73.0","19.0","54.0","-"
"Washington","24.0","7.0","17.0","-"
"Other","202.0","65.0","137.0","-"
"Unknown","21.0","4.0","16.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
