"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Serbia and Montenegro","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2597.0","1346.0","1250.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","190.0","90.0","100.0","-"
"25-34 years","716.0","366.0","350.0","-"
"35-44 years","786.0","400.0","385.0","1.0"
"45-54 years","448.0","255.0","193.0","-"
"55-64 years","274.0","144.0","130.0","-"
"65 years and over","183.0","91.0","92.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","495.0","333.0","162.0","-"
"Married","1817.0","907.0","910.0","-"
"Other","266.0","98.0","168.0","-"
"Unknown","19.0","8.0","10.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","408.0","235.0","173.0","-"
"Service occupations","176.0","84.0","92.0","-"
"Sales and office occupations","122.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","40.0","D","D","-"
"Production, transportation, and material moving occupations","205.0","143.0","62.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","378.0","149.0","229.0","-"
"Homemakers","54.0","D","D","-"
"Students or children","204.0","93.0","111.0","-"
"Retirees","45.0","D","D","-"
"Unemployed","75.0","29.0","46.0","-"
"Unknown","1265.0","666.0","598.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","66.0","39.0","27.0","-"
"California","249.0","131.0","118.0","-"
"Connecticut","62.0","37.0","25.0","-"
"Florida","189.0","102.0","87.0","-"
"Georgia","41.0","21.0","20.0","-"
"Illinois","254.0","137.0","117.0","-"
"Maryland","22.0","9.0","13.0","-"
"Massachusetts","55.0","27.0","28.0","-"
"Michigan","177.0","90.0","87.0","-"
"Minnesota","18.0","6.0","12.0","-"
"Nevada","38.0","14.0","24.0","-"
"New Jersey","152.0","82.0","70.0","-"
"New York","649.0","338.0","311.0","-"
"North Carolina","48.0","22.0","26.0","-"
"Ohio","48.0","25.0","23.0","-"
"Pennsylvania","66.0","35.0","31.0","-"
"Texas","74.0","36.0","38.0","-"
"Virginia","55.0","24.0","31.0","-"
"Washington","32.0","14.0","18.0","-"
"Other","283.0","149.0","134.0","-"
"Unknown","19.0","8.0","10.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
