"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Sweden","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","940.0","390.0","550.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","32.0","18.0","14.0","-"
"25-34 years","160.0","71.0","89.0","-"
"35-44 years","346.0","137.0","209.0","-"
"45-54 years","189.0","82.0","107.0","-"
"55-64 years","114.0","47.0","67.0","-"
"65 years and over","99.0","35.0","64.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","89.0","50.0","39.0","-"
"Married","719.0","298.0","421.0","-"
"Other","125.0","41.0","84.0","-"
"Unknown","7.0","1.0","6.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","273.0","143.0","130.0","-"
"Service occupations","30.0","11.0","19.0","-"
"Sales and office occupations","53.0","16.0","37.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","7.0","D","D","-"
"Production, transportation, and material moving occupations","12.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","123.0","32.0","91.0","-"
"Homemakers","32.0","-","32.0","-"
"Students or children","62.0","23.0","39.0","-"
"Retirees","23.0","D","D","-"
"Unemployed","6.0","D","D","-"
"Unknown","442.0","177.0","265.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","18.0","10.0","8.0","-"
"California","224.0","91.0","133.0","-"
"Colorado","23.0","6.0","17.0","-"
"Connecticut","36.0","15.0","21.0","-"
"Florida","99.0","36.0","63.0","-"
"Georgia","19.0","10.0","9.0","-"
"Illinois","27.0","8.0","19.0","-"
"Maryland","18.0","10.0","8.0","-"
"Massachusetts","23.0","10.0","13.0","-"
"Michigan","13.0","6.0","7.0","-"
"Minnesota","16.0","5.0","11.0","-"
"New Jersey","29.0","11.0","18.0","-"
"New York","61.0","16.0","45.0","-"
"North Carolina","39.0","18.0","21.0","-"
"Ohio","11.0","5.0","6.0","-"
"Pennsylvania","26.0","15.0","11.0","-"
"Texas","38.0","27.0","11.0","-"
"Virginia","39.0","18.0","21.0","-"
"Washington","46.0","23.0","23.0","-"
"Other","128.0","49.0","79.0","-"
"Unknown","7.0","1.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
