"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Uganda","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","489.0","242.0","247.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","13.0","3.0","10.0","-"
"25-34 years","107.0","51.0","56.0","-"
"35-44 years","170.0","91.0","79.0","-"
"45-54 years","111.0","58.0","53.0","-"
"55-64 years","66.0","32.0","34.0","-"
"65 years and over","22.0","7.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","74.0","32.0","42.0","-"
"Married","316.0","173.0","143.0","-"
"Other","93.0","34.0","59.0","-"
"Unknown","6.0","3.0","3.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","110.0","57.0","53.0","-"
"Service occupations","33.0","10.0","23.0","-"
"Sales and office occupations","26.0","11.0","15.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","D","-"
"Production, transportation, and material moving occupations","14.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","57.0","19.0","38.0","-"
"Homemakers","6.0","-","6.0","-"
"Students or children","44.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","239.0","125.0","114.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","5.0","D","D","-"
"California","75.0","38.0","37.0","-"
"Colorado","9.0","D","D","-"
"Connecticut","7.0","3.0","4.0","-"
"Florida","38.0","20.0","18.0","-"
"Georgia","12.0","4.0","8.0","-"
"Illinois","4.0","D","D","-"
"Maryland","35.0","22.0","13.0","-"
"Massachusetts","73.0","22.0","51.0","-"
"Michigan","8.0","4.0","4.0","-"
"Minnesota","12.0","D","D","-"
"New Jersey","16.0","9.0","7.0","-"
"New York","13.0","6.0","7.0","-"
"North Carolina","22.0","10.0","12.0","-"
"Ohio","11.0","7.0","4.0","-"
"Pennsylvania","6.0","D","D","-"
"Texas","39.0","24.0","15.0","-"
"Virginia","29.0","14.0","15.0","-"
"Washington","16.0","10.0","6.0","-"
"Other","53.0","32.0","21.0","-"
"Unknown","6.0","3.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
