"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Armenia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2021.0","874.0","1147.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","179.0","83.0","96.0","-"
"25-34 years","622.0","228.0","394.0","-"
"35-44 years","431.0","209.0","222.0","-"
"45-54 years","344.0","162.0","182.0","-"
"55-64 years","257.0","125.0","132.0","-"
"65 years and over","188.0","67.0","121.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","368.0","211.0","157.0","-"
"Married","1379.0","591.0","788.0","-"
"Other","267.0","70.0","197.0","-"
"Unknown","7.0","2.0","5.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","331.0","149.0","182.0","-"
"Service occupations","104.0","42.0","62.0","-"
"Sales and office occupations","134.0","39.0","95.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","25.0","D","D","-"
"Production, transportation, and material moving occupations","130.0","109.0","21.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","383.0","110.0","273.0","-"
"Homemakers","45.0","D","D","-"
"Students or children","255.0","72.0","183.0","-"
"Retirees","15.0","D","D","-"
"Unemployed","68.0","27.0","41.0","-"
"Unknown","909.0","398.0","511.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","13.0","5.0","8.0","-"
"California","1610.0","699.0","911.0","-"
"Colorado","10.0","5.0","5.0","-"
"Connecticut","5.0","D","D","-"
"Florida","23.0","6.0","17.0","-"
"Illinois","10.0","6.0","4.0","-"
"Maryland","12.0","4.0","8.0","-"
"Massachusetts","43.0","21.0","22.0","-"
"Michigan","6.0","D","D","-"
"Minnesota","5.0","D","D","-"
"Nevada","31.0","13.0","18.0","-"
"New Jersey","29.0","15.0","14.0","-"
"New York","83.0","41.0","42.0","-"
"North Carolina","13.0","4.0","9.0","-"
"Ohio","8.0","D","D","-"
"Pennsylvania","13.0","4.0","9.0","-"
"Texas","16.0","5.0","11.0","-"
"Virginia","20.0","5.0","15.0","-"
"Washington","20.0","9.0","11.0","-"
"Other","44.0","21.0","23.0","-"
"Unknown","7.0","2.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
