"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Benin","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","119.0","70.0","49.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","38.0","26.0","12.0","-"
"35-44 years","52.0","28.0","24.0","-"
"45-54 years","19.0","10.0","9.0","-"
"55-64 years","5.0","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","11.0","7.0","-"
"Married","84.0","47.0","37.0","-"
"Other","14.0","9.0","5.0","-"
"Unknown","3.0","3.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","12.0","D","D","-"
"Service occupations","11.0","4.0","7.0","-"
"Sales and office occupations","D","D","5.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","10.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","13.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","9.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","62.0","34.0","28.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","-","-"
"California","D","D","D","-"
"Colorado","4.0","D","D","-"
"Connecticut","D","D","D","-"
"Florida","5.0","D","D","-"
"Georgia","5.0","D","D","-"
"Illinois","6.0","D","D","-"
"Maryland","12.0","7.0","5.0","-"
"Massachusetts","6.0","D","D","-"
"Michigan","D","D","-","-"
"Minnesota","9.0","4.0","5.0","-"
"New Jersey","3.0","D","D","-"
"New York","11.0","5.0","6.0","-"
"North Carolina","6.0","D","D","-"
"Ohio","3.0","3.0","-","-"
"Pennsylvania","9.0","D","D","-"
"Texas","D","D","D","-"
"Virginia","7.0","D","D","-"
"Washington","D","D","D","-"
"Other","19.0","12.0","7.0","-"
"Unknown","3.0","3.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
