"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Bolivia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1700.0","749.0","951.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","155.0","84.0","71.0","-"
"25-34 years","485.0","194.0","291.0","-"
"35-44 years","432.0","190.0","242.0","-"
"45-54 years","341.0","157.0","184.0","-"
"55-64 years","176.0","86.0","90.0","-"
"65 years and over","111.0","38.0","73.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","330.0","181.0","149.0","-"
"Married","1107.0","470.0","637.0","-"
"Other","246.0","90.0","156.0","-"
"Unknown","17.0","8.0","9.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","203.0","93.0","110.0","-"
"Service occupations","92.0","23.0","69.0","-"
"Sales and office occupations","91.0","22.0","69.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","25.0","25.0","-","-"
"Production, transportation, and material moving occupations","69.0","D","D","-"
"Military","19.0","D","D","-"
"No occupation/not working outside home","211.0","77.0","134.0","-"
"Homemakers","33.0","-","33.0","-"
"Students or children","137.0","55.0","82.0","-"
"Retirees","19.0","9.0","10.0","-"
"Unemployed","22.0","13.0","9.0","-"
"Unknown","990.0","449.0","541.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","9.0","4.0","5.0","-"
"California","213.0","88.0","125.0","-"
"Colorado","6.0","D","D","-"
"Connecticut","7.0","3.0","4.0","-"
"Florida","211.0","74.0","137.0","-"
"Georgia","8.0","D","D","-"
"Illinois","20.0","8.0","12.0","-"
"Maryland","118.0","53.0","65.0","-"
"Massachusetts","27.0","12.0","15.0","-"
"Minnesota","5.0","D","D","-"
"Nevada","12.0","8.0","4.0","-"
"New Jersey","56.0","27.0","29.0","-"
"New York","131.0","61.0","70.0","-"
"North Carolina","31.0","15.0","16.0","-"
"Ohio","5.0","D","D","-"
"Pennsylvania","8.0","5.0","3.0","-"
"Texas","83.0","37.0","46.0","-"
"Virginia","584.0","279.0","305.0","-"
"Washington","10.0","6.0","4.0","-"
"Other","139.0","52.0","87.0","-"
"Unknown","17.0","8.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
