"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Czechoslovakia (former)","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","503.0","190.0","312.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","7.0","4.0","3.0","-"
"25-34 years","176.0","52.0","124.0","-"
"35-44 years","166.0","60.0","106.0","-"
"45-54 years","66.0","36.0","30.0","-"
"55-64 years","48.0","21.0","26.0","1.0"
"65 years and over","40.0","17.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","43.0","25.0","18.0","-"
"Married","373.0","130.0","243.0","-"
"Other","82.0","34.0","48.0","-"
"Unknown","5.0","1.0","3.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","97.0","36.0","61.0","-"
"Service occupations","22.0","7.0","15.0","-"
"Sales and office occupations","23.0","4.0","19.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","6.0","-","-"
"Production, transportation, and material moving occupations","19.0","D","D","-"
"Military","4.0","D","D","-"
"No occupation/not working outside home","65.0","12.0","53.0","-"
"Homemakers","11.0","-","11.0","-"
"Students or children","42.0","D","D","-"
"Retirees","8.0","D","D","-"
"Unemployed","4.0","D","D","-"
"Unknown","267.0","109.0","157.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","10.0","6.0","4.0","-"
"California","93.0","35.0","58.0","-"
"Colorado","9.0","5.0","4.0","-"
"Connecticut","6.0","3.0","3.0","-"
"Florida","58.0","18.0","40.0","-"
"Georgia","8.0","D","D","-"
"Illinois","32.0","17.0","15.0","-"
"Maryland","14.0","7.0","7.0","-"
"Massachusetts","15.0","4.0","11.0","-"
"Michigan","9.0","6.0","3.0","-"
"Nevada","6.0","D","D","-"
"New Jersey","22.0","9.0","13.0","-"
"New York","55.0","22.0","33.0","-"
"North Carolina","17.0","5.0","12.0","-"
"Ohio","8.0","4.0","4.0","-"
"Pennsylvania","15.0","5.0","10.0","-"
"Texas","18.0","D","D","-"
"Virginia","18.0","4.0","14.0","-"
"Washington","23.0","8.0","15.0","-"
"Other","62.0","26.0","36.0","-"
"Unknown","5.0","1.0","3.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
