"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Finland","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","385.0","115.0","270.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","6.0","3.0","3.0","-"
"25-34 years","61.0","14.0","47.0","-"
"35-44 years","119.0","38.0","81.0","-"
"45-54 years","107.0","33.0","74.0","-"
"55-64 years","61.0","18.0","43.0","-"
"65 years and over","31.0","9.0","22.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","16.0","15.0","-"
"Married","294.0","87.0","207.0","-"
"Other","55.0","10.0","45.0","-"
"Unknown","5.0","2.0","3.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","103.0","42.0","61.0","-"
"Service occupations","13.0","D","D","-"
"Sales and office occupations","31.0","6.0","25.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","5.0","D","D","-"
"Military","D","-","D","-"
"No occupation/not working outside home","45.0","9.0","36.0","-"
"Homemakers","15.0","-","15.0","-"
"Students or children","20.0","D","D","-"
"Retirees","7.0","D","D","-"
"Unemployed","3.0","-","3.0","-"
"Unknown","183.0","53.0","130.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","9.0","D","D","-"
"California","60.0","20.0","40.0","-"
"Colorado","6.0","D","D","-"
"Connecticut","7.0","3.0","4.0","-"
"Florida","63.0","27.0","36.0","-"
"Georgia","10.0","3.0","7.0","-"
"Illinois","6.0","D","D","-"
"Maryland","11.0","4.0","7.0","-"
"Massachusetts","13.0","4.0","9.0","-"
"Michigan","7.0","D","D","-"
"Minnesota","7.0","D","D","-"
"New Jersey","14.0","3.0","11.0","-"
"New York","31.0","4.0","27.0","-"
"North Carolina","17.0","4.0","13.0","-"
"Ohio","5.0","-","5.0","-"
"Pennsylvania","6.0","3.0","3.0","-"
"Texas","21.0","9.0","12.0","-"
"Virginia","16.0","5.0","11.0","-"
"Washington","20.0","6.0","14.0","-"
"Other","51.0","8.0","43.0","-"
"Unknown","5.0","2.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
