"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Gambia, The","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","419.0","300.0","119.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","13.0","7.0","6.0","-"
"25-34 years","150.0","107.0","43.0","-"
"35-44 years","177.0","130.0","47.0","-"
"45-54 years","60.0","41.0","19.0","-"
"55-64 years","15.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","20.0","11.0","-"
"Married","324.0","233.0","91.0","-"
"Other","61.0","45.0","16.0","-"
"Unknown","3.0","2.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","77.0","55.0","22.0","-"
"Service occupations","49.0","28.0","21.0","-"
"Sales and office occupations","24.0","18.0","6.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","24.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","28.0","17.0","11.0","-"
"Homemakers","D","-","D","-"
"Students or children","23.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","210.0","155.0","55.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","4.0","D","D","-"
"California","14.0","7.0","7.0","-"
"Colorado","D","D","D","-"
"Connecticut","3.0","D","D","-"
"Florida","7.0","3.0","4.0","-"
"Georgia","43.0","27.0","16.0","-"
"Illinois","D","D","-","-"
"Maryland","49.0","28.0","21.0","-"
"Massachusetts","7.0","4.0","3.0","-"
"Michigan","15.0","10.0","5.0","-"
"Minnesota","21.0","18.0","3.0","-"
"New Jersey","4.0","D","D","-"
"New York","40.0","30.0","10.0","-"
"North Carolina","27.0","24.0","3.0","-"
"Ohio","18.0","15.0","3.0","-"
"Pennsylvania","9.0","D","D","-"
"Texas","16.0","13.0","3.0","-"
"Virginia","18.0","14.0","4.0","-"
"Washington","48.0","38.0","10.0","-"
"Other","69.0","50.0","19.0","-"
"Unknown","3.0","2.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
