"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Kenya","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","3043.0","1522.0","1521.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","252.0","122.0","130.0","-"
"25-34 years","1048.0","556.0","492.0","-"
"35-44 years","999.0","505.0","494.0","-"
"45-54 years","464.0","214.0","250.0","-"
"55-64 years","225.0","97.0","128.0","-"
"65 years and over","55.0","28.0","27.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","693.0","354.0","339.0","-"
"Married","1921.0","991.0","930.0","-"
"Other","409.0","162.0","247.0","-"
"Unknown","20.0","15.0","5.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1004.0","462.0","542.0","-"
"Service occupations","430.0","174.0","256.0","-"
"Sales and office occupations","237.0","110.0","127.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","16.0","D","-"
"Production, transportation, and material moving occupations","246.0","161.0","85.0","-"
"Military","117.0","102.0","15.0","-"
"No occupation/not working outside home","630.0","281.0","349.0","-"
"Homemakers","35.0","5.0","30.0","-"
"Students or children","476.0","214.0","262.0","-"
"Retirees","11.0","8.0","3.0","-"
"Unemployed","108.0","54.0","54.0","-"
"Unknown","360.0","216.0","144.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","32.0","15.0","17.0","-"
"California","280.0","130.0","150.0","-"
"Colorado","21.0","8.0","13.0","-"
"Connecticut","20.0","9.0","11.0","-"
"Florida","101.0","45.0","56.0","-"
"Georgia","217.0","120.0","97.0","-"
"Illinois","57.0","31.0","26.0","-"
"Maryland","173.0","76.0","97.0","-"
"Massachusetts","214.0","102.0","112.0","-"
"Michigan","31.0","16.0","15.0","-"
"Minnesota","180.0","88.0","92.0","-"
"New Jersey","165.0","84.0","81.0","-"
"New York","68.0","29.0","39.0","-"
"North Carolina","98.0","54.0","44.0","-"
"Ohio","56.0","20.0","36.0","-"
"Pennsylvania","110.0","58.0","52.0","-"
"Texas","394.0","201.0","193.0","-"
"Virginia","96.0","52.0","44.0","-"
"Washington","102.0","43.0","59.0","-"
"Other","608.0","326.0","282.0","-"
"Unknown","20.0","15.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
