"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Kuwait","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","919.0","514.0","405.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","107.0","53.0","54.0","-"
"25-34 years","366.0","185.0","181.0","-"
"35-44 years","354.0","215.0","139.0","-"
"45-54 years","86.0","D","D","-"
"55-64 years","D","D","-","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","216.0","133.0","83.0","-"
"Married","611.0","314.0","297.0","-"
"Other","85.0","62.0","23.0","-"
"Unknown","7.0","5.0","2.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","297.0","203.0","94.0","-"
"Service occupations","64.0","34.0","30.0","-"
"Sales and office occupations","100.0","64.0","36.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","8.0","8.0","-","-"
"Production, transportation, and material moving occupations","41.0","27.0","14.0","-"
"Military","5.0","5.0","-","-"
"No occupation/not working outside home","290.0","90.0","200.0","-"
"Homemakers","69.0","-","69.0","-"
"Students or children","171.0","76.0","95.0","-"
"Retirees","D","-","D","-"
"Unemployed","D","14.0","D","-"
"Unknown","114.0","83.0","31.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","19.0","12.0","7.0","-"
"California","136.0","67.0","69.0","-"
"Colorado","6.0","D","D","-"
"Connecticut","11.0","6.0","5.0","-"
"Florida","63.0","41.0","22.0","-"
"Georgia","18.0","9.0","9.0","-"
"Illinois","68.0","36.0","32.0","-"
"Maryland","13.0","5.0","8.0","-"
"Massachusetts","20.0","12.0","8.0","-"
"Michigan","40.0","26.0","14.0","-"
"Minnesota","6.0","D","D","-"
"New Jersey","44.0","26.0","18.0","-"
"New York","46.0","21.0","25.0","-"
"North Carolina","50.0","32.0","18.0","-"
"Ohio","43.0","24.0","19.0","-"
"Pennsylvania","18.0","6.0","12.0","-"
"Texas","104.0","61.0","43.0","-"
"Virginia","36.0","18.0","18.0","-"
"Washington","16.0","11.0","5.0","-"
"Other","155.0","88.0","67.0","-"
"Unknown","7.0","5.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
