"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Lebanon","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","3266.0","1724.0","1541.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","261.0","115.0","146.0","-"
"25-34 years","906.0","466.0","440.0","-"
"35-44 years","960.0","579.0","381.0","-"
"45-54 years","540.0","273.0","267.0","-"
"55-64 years","306.0","156.0","149.0","1.0"
"65 years and over","293.0","135.0","158.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","624.0","409.0","215.0","-"
"Married","2250.0","1122.0","1128.0","-"
"Other","371.0","182.0","189.0","-"
"Unknown","21.0","11.0","9.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","945.0","618.0","327.0","-"
"Service occupations","332.0","167.0","165.0","-"
"Sales and office occupations","368.0","200.0","168.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","95.0","87.0","8.0","-"
"Production, transportation, and material moving occupations","211.0","138.0","73.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","945.0","271.0","674.0","-"
"Homemakers","280.0","8.0","272.0","-"
"Students or children","365.0","145.0","220.0","-"
"Retirees","65.0","34.0","31.0","-"
"Unemployed","235.0","84.0","151.0","-"
"Unknown","355.0","228.0","126.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","41.0","23.0","18.0","-"
"California","674.0","334.0","340.0","-"
"Connecticut","29.0","8.0","21.0","-"
"Florida","210.0","110.0","100.0","-"
"Georgia","71.0","39.0","32.0","-"
"Illinois","68.0","45.0","23.0","-"
"Maryland","37.0","19.0","18.0","-"
"Massachusetts","289.0","180.0","109.0","-"
"Michigan","548.0","286.0","262.0","-"
"Minnesota","38.0","25.0","13.0","-"
"Nevada","37.0","17.0","20.0","-"
"New Jersey","108.0","64.0","44.0","-"
"New York","177.0","88.0","89.0","-"
"North Carolina","44.0","19.0","25.0","-"
"Ohio","125.0","56.0","69.0","-"
"Pennsylvania","73.0","39.0","34.0","-"
"Texas","268.0","150.0","118.0","-"
"Virginia","117.0","46.0","71.0","-"
"Washington","32.0","15.0","17.0","-"
"Other","259.0","151.0","108.0","-"
"Unknown","21.0","10.0","10.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
