"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Lithuania","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","843.0","289.0","554.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","86.0","31.0","55.0","-"
"25-34 years","293.0","104.0","189.0","-"
"35-44 years","252.0","95.0","157.0","-"
"45-54 years","131.0","39.0","92.0","-"
"55-64 years","52.0","12.0","40.0","-"
"65 years and over","29.0","8.0","21.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","132.0","68.0","64.0","-"
"Married","546.0","173.0","373.0","-"
"Other","163.0","48.0","115.0","-"
"Unknown","2.0","-","2.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","186.0","58.0","128.0","-"
"Service occupations","142.0","D","D","-"
"Sales and office occupations","71.0","18.0","53.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","33.0","D","D","-"
"Production, transportation, and material moving occupations","104.0","78.0","26.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","214.0","49.0","165.0","-"
"Homemakers","45.0","-","45.0","-"
"Students or children","131.0","37.0","94.0","-"
"Retirees","6.0","D","D","-"
"Unemployed","32.0","D","D","-"
"Unknown","90.0","36.0","54.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","58.0","18.0","40.0","-"
"Colorado","24.0","7.0","17.0","-"
"Connecticut","15.0","5.0","10.0","-"
"Florida","69.0","20.0","49.0","-"
"Georgia","12.0","6.0","6.0","-"
"Illinois","366.0","139.0","227.0","-"
"Maryland","7.0","3.0","4.0","-"
"Massachusetts","19.0","8.0","11.0","-"
"Michigan","8.0","D","D","-"
"Minnesota","5.0","D","D","-"
"Nevada","14.0","5.0","9.0","-"
"New Jersey","40.0","9.0","31.0","-"
"New York","52.0","15.0","37.0","-"
"North Carolina","14.0","6.0","8.0","-"
"Ohio","23.0","7.0","16.0","-"
"Pennsylvania","18.0","5.0","13.0","-"
"Texas","10.0","5.0","5.0","-"
"Virginia","14.0","4.0","10.0","-"
"Washington","21.0","8.0","13.0","-"
"Other","52.0","16.0","36.0","-"
"Unknown","2.0","-","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
