"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Mongolia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","157.0","33.0","124.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","21.0","13.0","8.0","-"
"25-34 years","54.0","6.0","48.0","-"
"35-44 years","59.0","7.0","52.0","-"
"45-54 years","17.0","D","D","-"
"55-64 years","D","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","15.0","6.0","-"
"Married","125.0","18.0","107.0","-"
"Other","10.0","-","10.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","38.0","7.0","31.0","-"
"Service occupations","28.0","3.0","25.0","-"
"Sales and office occupations","16.0","3.0","13.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","4.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","59.0","12.0","47.0","-"
"Homemakers","14.0","-","14.0","-"
"Students or children","36.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","D","D","-"
"Unknown","7.0","2.0","5.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","46.0","11.0","35.0","-"
"Colorado","9.0","-","9.0","-"
"Connecticut","D","D","D","-"
"Florida","5.0","-","5.0","-"
"Georgia","D","-","D","-"
"Illinois","17.0","3.0","14.0","-"
"Maryland","4.0","-","4.0","-"
"Massachusetts","D","-","D","-"
"Minnesota","D","-","D","-"
"Nevada","D","-","D","-"
"New Jersey","7.0","D","D","-"
"New York","6.0","D","D","-"
"Ohio","D","-","D","-"
"Pennsylvania","D","-","D","-"
"Texas","4.0","D","D","-"
"Virginia","17.0","7.0","10.0","-"
"Washington","3.0","D","D","-"
"Other","29.0","4.0","25.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
