"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Tajikistan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","178.0","81.0","97.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","18.0","8.0","10.0","-"
"25-34 years","57.0","30.0","27.0","-"
"35-44 years","50.0","26.0","24.0","-"
"45-54 years","27.0","8.0","19.0","-"
"55-64 years","16.0","6.0","10.0","-"
"65 years and over","10.0","3.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","37.0","20.0","17.0","-"
"Married","114.0","53.0","61.0","-"
"Other","26.0","7.0","19.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","48.0","28.0","20.0","-"
"Service occupations","25.0","9.0","16.0","-"
"Sales and office occupations","13.0","3.0","10.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","3.0","3.0","-","-"
"Production, transportation, and material moving occupations","15.0","6.0","9.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","45.0","16.0","29.0","-"
"Homemakers","D","-","D","-"
"Students or children","23.0","8.0","15.0","-"
"Retirees","D","D","D","-"
"Unemployed","17.0","D","D","-"
"Unknown","29.0","16.0","13.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","-","-"
"California","25.0","13.0","12.0","-"
"Colorado","8.0","5.0","3.0","-"
"Connecticut","D","-","D","-"
"Florida","4.0","D","D","-"
"Georgia","D","-","D","-"
"Maryland","6.0","D","D","-"
"Massachusetts","5.0","D","D","-"
"Michigan","D","D","-","-"
"Minnesota","D","D","D","-"
"Nevada","D","D","-","-"
"New Jersey","10.0","4.0","6.0","-"
"New York","60.0","28.0","32.0","-"
"Ohio","3.0","-","3.0","-"
"Pennsylvania","4.0","-","4.0","-"
"Texas","9.0","4.0","5.0","-"
"Virginia","4.0","D","D","-"
"Washington","12.0","6.0","6.0","-"
"Other","19.0","8.0","11.0","-"
"Unknown","D","D","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
