"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Total","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","619913.0","290846.0","328965.0","102.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","59230.0","28430.0","30797.0","3.0"
"25-34 years","165909.0","70809.0","95091.0","9.0"
"35-44 years","184781.0","91150.0","93609.0","22.0"
"45-54 years","105620.0","51985.0","53610.0","25.0"
"55-64 years","61755.0","29812.0","31911.0","32.0"
"65 years and over","42618.0","18660.0","23947.0","11.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","131581.0","70850.0","60731.0","-"
"Married","413172.0","192445.0","220727.0","-"
"Other","71345.0","25601.0","45744.0","-"
"Unknown","3815.0","1950.0","1763.0","102.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","161869.0","83271.0","78598.0","-"
"Service occupations","78607.0","29799.0","48808.0","-"
"Sales and office occupations","59055.0","21426.0","37629.0","-"
"Farming, fishing, and forestry occupations","1688.0","1333.0","355.0","-"
"Construction, extraction, maintenance and repair occupations","13678.0","12785.0","893.0","-"
"Production, transportation, and material moving occupations","76063.0","49485.0","26578.0","-"
"Military","4264.0","3447.0","817.0","-"
"No occupation/not working outside home","151449.0","51075.0","100374.0","-"
"Homemakers","27237.0","732.0","26505.0","-"
"Students or children","75446.0","30226.0","45220.0","-"
"Retirees","11045.0","5584.0","5461.0","-"
"Unemployed","37721.0","14533.0","23188.0","-"
"Unknown","73240.0","38225.0","34913.0","102.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","10340.0","4827.0","5513.0","-"
"California","129354.0","59705.0","69647.0","2.0"
"Colorado","7165.0","3404.0","3761.0","-"
"Connecticut","7452.0","3465.0","3987.0","-"
"Florida","67484.0","30479.0","37005.0","-"
"Georgia","18253.0","8775.0","9478.0","-"
"Illinois","26180.0","12579.0","13601.0","-"
"Maryland","16220.0","7536.0","8684.0","-"
"Massachusetts","21095.0","9993.0","11102.0","-"
"Michigan","11162.0","5463.0","5698.0","1.0"
"Minnesota","9020.0","4206.0","4814.0","-"
"Nevada","6791.0","3136.0","3655.0","-"
"New Jersey","33864.0","15960.0","17897.0","7.0"
"New York","67972.0","31474.0","36498.0","-"
"North Carolina","9988.0","4863.0","5125.0","-"
"Ohio","8617.0","4258.0","4359.0","-"
"Pennsylvania","16143.0","7736.0","8407.0","-"
"Texas","49699.0","24027.0","25672.0","-"
"Virginia","17815.0","8594.0","9218.0","3.0"
"Washington","16830.0","7708.0","9122.0","-"
"Other","64699.0","30733.0","33966.0","-"
"Unknown","3770.0","1925.0","1756.0","89.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
