"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Central America","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","25706.0","12069.0","13631.0","6.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","2125.0","965.0","1160.0","-"
"25-34 years","6879.0","3124.0","3755.0","-"
"35-44 years","7677.0","3946.0","3730.0","1.0"
"45-54 years","4692.0","2271.0","2420.0","1.0"
"55-64 years","2712.0","1174.0","1535.0","3.0"
"65 years and over","1621.0","589.0","1031.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","6316.0","3047.0","3269.0","-"
"Married","15963.0","7780.0","8183.0","-"
"Other","3244.0","1140.0","2104.0","-"
"Unknown","183.0","102.0","75.0","6.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","4111.0","2016.0","2095.0","-"
"Service occupations","3967.0","1338.0","2629.0","-"
"Sales and office occupations","2399.0","700.0","1699.0","-"
"Farming, fishing, and forestry occupations","107.0","89.0","18.0","-"
"Construction, extraction, maintenance and repair occupations","1146.0","1104.0","42.0","-"
"Production, transportation, and material moving occupations","4599.0","3060.0","1539.0","-"
"Military","208.0","170.0","38.0","-"
"No occupation/not working outside home","5315.0","1570.0","3745.0","-"
"Homemakers","1275.0","18.0","1257.0","-"
"Students or children","2039.0","755.0","1284.0","-"
"Retirees","482.0","226.0","256.0","-"
"Unemployed","1519.0","571.0","948.0","-"
"Unknown","3854.0","2022.0","1826.0","6.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","272.0","121.0","151.0","-"
"California","7367.0","3442.0","3925.0","-"
"Colorado","213.0","101.0","112.0","-"
"Connecticut","171.0","83.0","88.0","-"
"Florida","3967.0","1714.0","2253.0","-"
"Georgia","544.0","250.0","294.0","-"
"Illinois","491.0","226.0","265.0","-"
"Louisiana","321.0","149.0","172.0","-"
"Maryland","1108.0","564.0","544.0","-"
"Massachusetts","647.0","334.0","313.0","-"
"Nevada","408.0","206.0","202.0","-"
"New Jersey","1000.0","497.0","503.0","-"
"New York","1890.0","898.0","992.0","-"
"North Carolina","510.0","245.0","265.0","-"
"Pennsylvania","207.0","109.0","98.0","-"
"Rhode Island","154.0","88.0","66.0","-"
"Texas","2565.0","1187.0","1378.0","-"
"Utah","159.0","70.0","89.0","-"
"Virginia","1232.0","621.0","610.0","1.0"
"Washington","270.0","126.0","144.0","-"
"Other","2031.0","938.0","1093.0","-"
"Unknown","179.0","100.0","74.0","5.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
