"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Gabon","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","43.0","28.0","15.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","-","-"
"25-34 years","12.0","D","D","-"
"35-44 years","21.0","12.0","9.0","-"
"45-54 years","6.0","D","D","-"
"55-64 years","D","D","-","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","5.0","5.0","-","-"
"Married","29.0","18.0","11.0","-"
"Other","8.0","4.0","4.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","D","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","11.0","7.0","4.0","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","4.0","4.0","-","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","D","-","-"
"Colorado","D","D","D","-"
"Florida","4.0","D","D","-"
"Georgia","4.0","D","D","-"
"Illinois","D","D","-","-"
"Maryland","7.0","D","D","-"
"Massachusetts","4.0","D","D","-"
"Michigan","D","D","-","-"
"New Jersey","D","D","D","-"
"New York","D","-","D","-"
"North Carolina","D","-","D","-"
"Ohio","D","-","D","-"
"Texas","6.0","3.0","3.0","-"
"Washington","D","D","-","-"
"Other","5.0","5.0","-","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
