"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Greece","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","800.0","459.0","341.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","19.0","7.0","12.0","-"
"25-34 years","104.0","54.0","50.0","-"
"35-44 years","236.0","145.0","91.0","-"
"45-54 years","188.0","101.0","87.0","-"
"55-64 years","138.0","94.0","44.0","-"
"65 years and over","115.0","58.0","57.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","97.0","72.0","25.0","-"
"Married","576.0","319.0","257.0","-"
"Other","120.0","64.0","56.0","-"
"Unknown","7.0","4.0","3.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","263.0","168.0","95.0","-"
"Service occupations","109.0","58.0","51.0","-"
"Sales and office occupations","56.0","24.0","32.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","23.0","23.0","-","-"
"Production, transportation, and material moving occupations","55.0","38.0","17.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","176.0","66.0","110.0","-"
"Homemakers","37.0","D","D","-"
"Students or children","51.0","19.0","32.0","-"
"Retirees","31.0","D","D","-"
"Unemployed","57.0","27.0","30.0","-"
"Unknown","113.0","77.0","36.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","9.0","D","D","-"
"California","115.0","63.0","52.0","-"
"Colorado","D","D","D","-"
"Connecticut","18.0","8.0","10.0","-"
"Florida","46.0","32.0","14.0","-"
"Georgia","6.0","D","D","-"
"Illinois","58.0","34.0","24.0","-"
"Maryland","21.0","14.0","7.0","-"
"Massachusetts","80.0","49.0","31.0","-"
"Michigan","15.0","8.0","7.0","-"
"Nevada","D","4.0","D","-"
"New Jersey","51.0","28.0","23.0","-"
"New York","150.0","88.0","62.0","-"
"North Carolina","13.0","7.0","6.0","-"
"Ohio","18.0","7.0","11.0","-"
"Pennsylvania","48.0","29.0","19.0","-"
"Texas","28.0","17.0","11.0","-"
"Virginia","26.0","12.0","14.0","-"
"Washington","13.0","7.0","6.0","-"
"Other","71.0","37.0","34.0","-"
"Unknown","7.0","4.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
