"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Guatemala","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5375.0","2727.0","2648.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","378.0","182.0","196.0","-"
"25-34 years","1409.0","677.0","732.0","-"
"35-44 years","1721.0","951.0","770.0","-"
"45-54 years","1030.0","548.0","482.0","-"
"55-64 years","542.0","245.0","297.0","-"
"65 years and over","295.0","124.0","171.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1222.0","618.0","604.0","-"
"Married","3529.0","1860.0","1669.0","-"
"Other","595.0","234.0","361.0","-"
"Unknown","29.0","15.0","14.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","851.0","453.0","398.0","-"
"Service occupations","881.0","305.0","576.0","-"
"Sales and office occupations","430.0","143.0","287.0","-"
"Farming, fishing, and forestry occupations","33.0","29.0","4.0","-"
"Construction, extraction, maintenance and repair occupations","268.0","259.0","9.0","-"
"Production, transportation, and material moving occupations","1030.0","740.0","290.0","-"
"Military","51.0","46.0","5.0","-"
"No occupation/not working outside home","1090.0","338.0","752.0","-"
"Homemakers","304.0","4.0","300.0","-"
"Students or children","387.0","155.0","232.0","-"
"Retirees","91.0","55.0","36.0","-"
"Unemployed","308.0","124.0","184.0","-"
"Unknown","741.0","414.0","327.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","93.0","41.0","52.0","-"
"California","2047.0","1008.0","1039.0","-"
"Colorado","37.0","22.0","15.0","-"
"Connecticut","69.0","36.0","33.0","-"
"Florida","345.0","163.0","182.0","-"
"Georgia","98.0","53.0","45.0","-"
"Illinois","207.0","93.0","114.0","-"
"Maryland","147.0","73.0","74.0","-"
"Massachusetts","217.0","117.0","100.0","-"
"Minnesota","29.0","19.0","10.0","-"
"Nevada","102.0","63.0","39.0","-"
"New Jersey","232.0","127.0","105.0","-"
"New York","315.0","159.0","156.0","-"
"North Carolina","74.0","40.0","34.0","-"
"Ohio","23.0","15.0","8.0","-"
"Pennsylvania","49.0","27.0","22.0","-"
"Texas","385.0","199.0","186.0","-"
"Virginia","152.0","86.0","66.0","-"
"Washington","67.0","37.0","30.0","-"
"Other","658.0","334.0","324.0","-"
"Unknown","29.0","15.0","14.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
