"Persons Naturalized During Fiscal Year 2010","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Honduras","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","3056.0","1315.0","1741.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","364.0","160.0","204.0","-"
"25-34 years","936.0","422.0","514.0","-"
"35-44 years","821.0","370.0","451.0","-"
"45-54 years","447.0","186.0","261.0","-"
"55-64 years","301.0","122.0","179.0","-"
"65 years and over","187.0","55.0","132.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","744.0","343.0","401.0","-"
"Married","1860.0","829.0","1031.0","-"
"Other","420.0","126.0","294.0","-"
"Unknown","32.0","17.0","15.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","469.0","198.0","271.0","-"
"Service occupations","422.0","110.0","312.0","-"
"Sales and office occupations","303.0","73.0","230.0","-"
"Farming, fishing, and forestry occupations","10.0","7.0","3.0","-"
"Construction, extraction, maintenance and repair occupations","139.0","131.0","8.0","-"
"Production, transportation, and material moving occupations","532.0","340.0","192.0","-"
"Military","30.0","24.0","6.0","-"
"No occupation/not working outside home","673.0","175.0","498.0","-"
"Homemakers","123.0","D","D","-"
"Students or children","307.0","100.0","207.0","-"
"Retirees","48.0","D","D","-"
"Unemployed","195.0","60.0","135.0","-"
"Unknown","478.0","257.0","221.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","27.0","8.0","19.0","-"
"California","363.0","147.0","216.0","-"
"Colorado","32.0","11.0","21.0","-"
"Connecticut","29.0","10.0","19.0","-"
"Florida","678.0","283.0","395.0","-"
"Georgia","73.0","35.0","38.0","-"
"Illinois","50.0","22.0","28.0","-"
"Maryland","67.0","29.0","38.0","-"
"Massachusetts","75.0","37.0","38.0","-"
"Minnesota","14.0","7.0","7.0","-"
"Nevada","22.0","5.0","17.0","-"
"New Jersey","179.0","76.0","103.0","-"
"New York","320.0","144.0","176.0","-"
"North Carolina","92.0","47.0","45.0","-"
"Ohio","16.0","9.0","7.0","-"
"Pennsylvania","43.0","26.0","17.0","-"
"Texas","369.0","142.0","227.0","-"
"Virginia","137.0","72.0","65.0","-"
"Washington","28.0","7.0","21.0","-"
"Other","411.0","181.0","230.0","-"
"Unknown","31.0","17.0","14.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
