"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Laos","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5452.0","2174.0","3274.0","4.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","62.0","22.0","40.0","-"
"25-34 years","819.0","316.0","502.0","1.0"
"35-44 years","1191.0","545.0","644.0","2.0"
"45-54 years","1156.0","417.0","739.0","-"
"55-64 years","1155.0","427.0","728.0","-"
"65 years and over","1069.0","447.0","621.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","763.0","382.0","381.0","-"
"Married","3510.0","1546.0","1964.0","-"
"Other","1144.0","236.0","908.0","-"
"Unknown","35.0","10.0","21.0","4.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","238.0","109.0","129.0","-"
"Service occupations","275.0","110.0","165.0","-"
"Sales and office occupations","116.0","32.0","84.0","-"
"Farming, fishing, and forestry occupations","21.0","9.0","12.0","-"
"Construction, extraction, maintenance and repair occupations","67.0","58.0","9.0","-"
"Production, transportation, and material moving occupations","699.0","376.0","323.0","-"
"Military","4.0","4.0","-","-"
"No occupation/not working outside home","2940.0","1034.0","1906.0","-"
"Homemakers","356.0","16.0","340.0","-"
"Students or children","135.0","43.0","92.0","-"
"Retirees","439.0","199.0","240.0","-"
"Unemployed","2010.0","776.0","1234.0","-"
"Unknown","1092.0","442.0","646.0","4.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","13.0","D","D","-"
"California","2773.0","1046.0","1727.0","-"
"Colorado","39.0","15.0","24.0","-"
"Connecticut","18.0","8.0","10.0","-"
"Florida","51.0","26.0","25.0","-"
"Georgia","67.0","26.0","41.0","-"
"Illinois","25.0","14.0","11.0","-"
"Maryland","6.0","D","D","-"
"Massachusetts","36.0","12.0","24.0","-"
"Michigan","46.0","16.0","30.0","-"
"Minnesota","955.0","405.0","550.0","-"
"Nevada","15.0","7.0","8.0","-"
"New York","39.0","10.0","29.0","-"
"North Carolina","108.0","47.0","61.0","-"
"Ohio","27.0","11.0","16.0","-"
"Pennsylvania","29.0","11.0","18.0","-"
"Texas","102.0","37.0","65.0","-"
"Virginia","20.0","5.0","15.0","-"
"Washington","106.0","47.0","59.0","-"
"Other","942.0","416.0","526.0","-"
"Unknown","35.0","10.0","21.0","4.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
