"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Afghanistan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1998.0","980.0","1018.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","335.0","157.0","178.0","-"
"25-34 years","594.0","283.0","311.0","-"
"35-44 years","405.0","214.0","191.0","-"
"45-54 years","320.0","162.0","158.0","-"
"55-64 years","168.0","85.0","83.0","-"
"65 years and over","176.0","79.0","97.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","567.0","321.0","246.0","-"
"Married","1172.0","579.0","593.0","-"
"Other","186.0","44.0","142.0","-"
"Unknown","73.0","36.0","37.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","193.0","129.0","64.0","-"
"Service occupations","174.0","97.0","77.0","-"
"Sales and office occupations","215.0","108.0","107.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","128.0","104.0","24.0","-"
"Military","24.0","24.0","-","-"
"No occupation/not working outside home","769.0","231.0","538.0","-"
"Homemakers","192.0","D","D","-"
"Students or children","237.0","93.0","144.0","-"
"Retirees","67.0","D","D","-"
"Unemployed","273.0","107.0","166.0","-"
"Unknown","479.0","271.0","208.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","85.0","48.0","37.0","-"
"California","661.0","312.0","349.0","-"
"Colorado","32.0","22.0","10.0","-"
"Connecticut","20.0","11.0","9.0","-"
"Florida","32.0","15.0","17.0","-"
"Georgia","53.0","24.0","29.0","-"
"Illinois","33.0","19.0","14.0","-"
"Maryland","29.0","16.0","13.0","-"
"Massachusetts","29.0","11.0","18.0","-"
"Michigan","23.0","9.0","14.0","-"
"Nevada","12.0","7.0","5.0","-"
"New Jersey","48.0","23.0","25.0","-"
"New York","261.0","125.0","136.0","-"
"North Carolina","10.0","7.0","3.0","-"
"Ohio","9.0","4.0","5.0","-"
"Pennsylvania","25.0","11.0","14.0","-"
"Texas","94.0","53.0","41.0","-"
"Virginia","247.0","124.0","123.0","-"
"Washington","29.0","14.0","15.0","-"
"Other","192.0","88.0","104.0","-"
"Unknown","74.0","37.0","37.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
