"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Macau","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","86.0","39.0","47.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","27.0","15.0","12.0","-"
"25-34 years","26.0","9.0","17.0","-"
"35-44 years","9.0","D","D","-"
"45-54 years","12.0","5.0","7.0","-"
"55-64 years","9.0","D","D","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","46.0","20.0","26.0","-"
"Married","36.0","19.0","17.0","-"
"Other","4.0","-","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","19.0","9.0","10.0","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","35.0","18.0","17.0","-"
"Homemakers","D","-","D","-"
"Students or children","22.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","6.0","D","D","-"
"Unknown","19.0","8.0","11.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","3.0","3.0","-","-"
"California","51.0","18.0","33.0","-"
"Connecticut","D","-","D","-"
"Florida","D","-","D","-"
"Georgia","4.0","D","D","-"
"Massachusetts","D","D","D","-"
"Michigan","D","-","D","-"
"Minnesota","D","D","-","-"
"Nevada","D","D","D","-"
"New York","6.0","D","D","-"
"Ohio","D","D","-","-"
"Pennsylvania","3.0","D","D","-"
"Texas","3.0","3.0","-","-"
"Virginia","D","-","D","-"
"Washington","D","-","D","-"
"Other","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
