"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Portugal","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1426.0","757.0","669.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","62.0","32.0","30.0","-"
"25-34 years","248.0","120.0","128.0","-"
"35-44 years","344.0","183.0","161.0","-"
"45-54 years","373.0","198.0","175.0","-"
"55-64 years","295.0","169.0","126.0","-"
"65 years and over","104.0","55.0","49.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","212.0","125.0","87.0","-"
"Married","1036.0","546.0","490.0","-"
"Other","156.0","73.0","83.0","-"
"Unknown","22.0","13.0","9.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","215.0","101.0","114.0","-"
"Service occupations","149.0","51.0","98.0","-"
"Sales and office occupations","94.0","29.0","65.0","-"
"Farming, fishing, and forestry occupations","8.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","107.0","D","D","-"
"Production, transportation, and material moving occupations","243.0","196.0","47.0","-"
"Military","7.0","7.0","-","-"
"No occupation/not working outside home","340.0","137.0","203.0","-"
"Homemakers","75.0","D","D","-"
"Students or children","27.0","D","D","-"
"Retirees","57.0","37.0","20.0","-"
"Unemployed","181.0","85.0","96.0","-"
"Unknown","263.0","124.0","139.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","4.0","D","D","-"
"California","122.0","69.0","53.0","-"
"Colorado","3.0","D","D","-"
"Connecticut","91.0","44.0","47.0","-"
"Florida","89.0","47.0","42.0","-"
"Georgia","6.0","D","D","-"
"Illinois","7.0","4.0","3.0","-"
"Maryland","18.0","11.0","7.0","-"
"Massachusetts","314.0","168.0","146.0","-"
"Michigan","D","-","D","-"
"Nevada","D","D","D","-"
"New Jersey","422.0","216.0","206.0","-"
"New York","113.0","67.0","46.0","-"
"North Carolina","12.0","7.0","5.0","-"
"Ohio","D","-","D","-"
"Pennsylvania","32.0","17.0","15.0","-"
"Texas","8.0","5.0","3.0","-"
"Virginia","12.0","6.0","6.0","-"
"Washington","8.0","5.0","3.0","-"
"Other","138.0","70.0","68.0","-"
"Unknown","22.0","13.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
