"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Serbia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","85.0","40.0","45.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","3.0","D","D","-"
"25-34 years","33.0","13.0","20.0","-"
"35-44 years","23.0","11.0","12.0","-"
"45-54 years","9.0","D","D","-"
"55-64 years","12.0","8.0","4.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","8.0","4.0","-"
"Married","59.0","27.0","32.0","-"
"Other","14.0","5.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","21.0","11.0","10.0","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","D","D","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","15.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","25.0","9.0","16.0","-"
"Homemakers","9.0","-","9.0","-"
"Students or children","D","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","12.0","D","D","-"
"Unknown","8.0","3.0","5.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","D","D","-"
"Florida","6.0","D","D","-"
"Illinois","57.0","25.0","32.0","-"
"Maryland","3.0","D","D","-"
"New York","6.0","D","D","-"
"North Carolina","D","-","D","-"
"Other","10.0","3.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
