"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Singapore","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","311.0","126.0","185.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","24.0","12.0","12.0","-"
"25-34 years","38.0","17.0","21.0","-"
"35-44 years","111.0","48.0","63.0","-"
"45-54 years","92.0","35.0","57.0","-"
"55-64 years","35.0","11.0","24.0","-"
"65 years and over","11.0","3.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","69.0","42.0","27.0","-"
"Married","201.0","71.0","130.0","-"
"Other","37.0","11.0","26.0","-"
"Unknown","4.0","2.0","2.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","126.0","64.0","62.0","-"
"Service occupations","12.0","D","D","-"
"Sales and office occupations","35.0","12.0","23.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","70.0","18.0","52.0","-"
"Homemakers","24.0","-","24.0","-"
"Students or children","24.0","12.0","12.0","-"
"Retirees","7.0","D","D","-"
"Unemployed","15.0","D","D","-"
"Unknown","61.0","25.0","36.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","3.0","D","D","-"
"California","97.0","41.0","56.0","-"
"Colorado","6.0","D","D","-"
"Connecticut","3.0","-","3.0","-"
"Florida","8.0","3.0","5.0","-"
"Georgia","10.0","5.0","5.0","-"
"Illinois","4.0","D","D","-"
"Maryland","7.0","3.0","4.0","-"
"Massachusetts","7.0","D","D","-"
"Michigan","7.0","D","D","-"
"Minnesota","4.0","4.0","-","-"
"Nevada","14.0","D","D","-"
"New Jersey","9.0","3.0","6.0","-"
"New York","21.0","8.0","13.0","-"
"North Carolina","7.0","D","D","-"
"Ohio","6.0","D","D","-"
"Pennsylvania","5.0","D","D","-"
"Texas","33.0","18.0","15.0","-"
"Washington","21.0","12.0","9.0","-"
"Other","35.0","12.0","23.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
