"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Togo","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1523.0","897.0","626.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","75.0","38.0","37.0","-"
"25-34 years","565.0","300.0","265.0","-"
"35-44 years","574.0","361.0","213.0","-"
"45-54 years","246.0","166.0","80.0","-"
"55-64 years","54.0","28.0","26.0","-"
"65 years and over","9.0","4.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","284.0","171.0","113.0","-"
"Married","901.0","548.0","353.0","-"
"Other","316.0","165.0","151.0","-"
"Unknown","22.0","13.0","9.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","208.0","125.0","83.0","-"
"Service occupations","285.0","127.0","158.0","-"
"Sales and office occupations","132.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","17.0","17.0","-","-"
"Production, transportation, and material moving occupations","264.0","204.0","60.0","-"
"Military","27.0","D","D","-"
"No occupation/not working outside home","286.0","126.0","160.0","-"
"Homemakers","D","D","D","-"
"Students or children","139.0","71.0","68.0","-"
"Retirees","D","-","D","-"
"Unemployed","116.0","D","D","-"
"Unknown","304.0","198.0","106.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","22.0","14.0","8.0","-"
"California","26.0","16.0","10.0","-"
"Colorado","22.0","11.0","11.0","-"
"Connecticut","44.0","27.0","17.0","-"
"Florida","26.0","14.0","12.0","-"
"Georgia","85.0","43.0","42.0","-"
"Illinois","134.0","94.0","40.0","-"
"Maryland","194.0","109.0","85.0","-"
"Massachusetts","18.0","13.0","5.0","-"
"Michigan","5.0","D","D","-"
"Minnesota","117.0","64.0","53.0","-"
"New Jersey","57.0","35.0","22.0","-"
"New York","219.0","124.0","95.0","-"
"North Carolina","80.0","48.0","32.0","-"
"Ohio","36.0","19.0","17.0","-"
"Pennsylvania","56.0","30.0","26.0","-"
"Texas","43.0","24.0","19.0","-"
"Virginia","50.0","30.0","20.0","-"
"Washington","10.0","D","D","-"
"Other","257.0","161.0","96.0","-"
"Unknown","22.0","13.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
