"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Tonga","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","251.0","123.0","128.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","8.0","4.0","4.0","-"
"25-34 years","48.0","24.0","24.0","-"
"35-44 years","63.0","31.0","32.0","-"
"45-54 years","62.0","28.0","34.0","-"
"55-64 years","37.0","21.0","16.0","-"
"65 years and over","33.0","15.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","22.0","6.0","16.0","-"
"Married","210.0","109.0","101.0","-"
"Other","17.0","6.0","11.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","30.0","12.0","18.0","-"
"Service occupations","36.0","12.0","24.0","-"
"Sales and office occupations","10.0","D","D","-"
"Farming, fishing, and forestry occupations","4.0","4.0","-","-"
"Construction, extraction, maintenance and repair occupations","14.0","14.0","-","-"
"Production, transportation, and material moving occupations","28.0","D","D","-"
"Military","4.0","D","D","-"
"No occupation/not working outside home","79.0","26.0","53.0","-"
"Homemakers","19.0","-","19.0","-"
"Students or children","5.0","D","D","-"
"Retirees","14.0","D","D","-"
"Unemployed","41.0","17.0","24.0","-"
"Unknown","46.0","29.0","17.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","8.0","D","D","-"
"California","108.0","49.0","59.0","-"
"Colorado","D","D","D","-"
"Florida","D","D","-","-"
"Georgia","D","D","-","-"
"Massachusetts","D","-","D","-"
"Michigan","D","D","-","-"
"Nevada","6.0","D","D","-"
"North Carolina","D","-","D","-"
"Texas","10.0","D","D","-"
"Virginia","D","-","D","-"
"Washington","19.0","12.0","7.0","-"
"Other","88.0","48.0","40.0","-"
"Unknown","2.0","2.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
