"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Czech Republic","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","485.0","160.0","325.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","12.0","5.0","7.0","-"
"25-34 years","191.0","47.0","144.0","-"
"35-44 years","198.0","72.0","126.0","-"
"45-54 years","48.0","21.0","27.0","-"
"55-64 years","23.0","10.0","13.0","-"
"65 years and over","13.0","5.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","26.0","13.0","13.0","-"
"Married","385.0","115.0","270.0","-"
"Other","71.0","32.0","39.0","-"
"Unknown","3.0","-","3.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","115.0","34.0","81.0","-"
"Service occupations","68.0","22.0","46.0","-"
"Sales and office occupations","42.0","12.0","30.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","32.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","87.0","D","D","-"
"Homemakers","34.0","D","D","-"
"Students or children","19.0","D","D","-"
"Retirees","5.0","D","D","-"
"Unemployed","29.0","5.0","24.0","-"
"Unknown","121.0","39.0","82.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","5.0","D","D","-"
"California","66.0","18.0","48.0","-"
"Colorado","18.0","4.0","14.0","-"
"Connecticut","4.0","D","D","-"
"Florida","105.0","45.0","60.0","-"
"Georgia","15.0","6.0","9.0","-"
"Illinois","32.0","15.0","17.0","-"
"Maryland","13.0","D","D","-"
"Massachusetts","15.0","6.0","9.0","-"
"Michigan","4.0","-","4.0","-"
"Nevada","9.0","D","D","-"
"New Jersey","21.0","7.0","14.0","-"
"New York","25.0","7.0","18.0","-"
"North Carolina","12.0","4.0","8.0","-"
"Ohio","7.0","3.0","4.0","-"
"Pennsylvania","11.0","4.0","7.0","-"
"Texas","18.0","5.0","13.0","-"
"Virginia","10.0","D","D","-"
"Washington","14.0","5.0","9.0","-"
"Other","78.0","23.0","55.0","-"
"Unknown","3.0","-","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
