"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: North America (Includes Caribbean and Central America)","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","217750.0","102973.0","114762.0","15.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","21390.0","9375.0","12015.0","-"
"25-34 years","53385.0","23767.0","29618.0","-"
"35-44 years","53641.0","25778.0","27859.0","4.0"
"45-54 years","40164.0","19991.0","20168.0","5.0"
"55-64 years","29026.0","14697.0","14326.0","3.0"
"65 years and over","20143.0","9365.0","10775.0","3.0"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Marital status","","","",""
"Single","51631.0","23659.0","27972.0","-"
"Married","133891.0","67274.0","66617.0","-"
"Other","30881.0","11296.0","19585.0","-"
"Unknown","1347.0","744.0","588.0","15.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","28764.0","13276.0","15488.0","-"
"Service occupations","29186.0","10144.0","19042.0","-"
"Sales and office occupations","17427.0","5684.0","11743.0","-"
"Farming, fishing, and forestry occupations","1899.0","1598.0","301.0","-"
"Construction, extraction, maintenance and repair occupations","7253.0","7078.0","175.0","-"
"Production, transportation, and material moving occupations","31706.0","22908.0","8798.0","-"
"Military","1362.0","1027.0","335.0","-"
"No occupation/not working outside home","56954.0","19532.0","37422.0","-"
"Homemakers","12169.0","315.0","11854.0","-"
"Students or children","10035.0","3792.0","6243.0","-"
"Retirees","8354.0","4647.0","3707.0","-"
"Unemployed","26396.0","10778.0","15618.0","-"
"Unknown","43199.0","21726.0","21458.0","15.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","6709.0","3276.0","3433.0","-"
"California","49466.0","24160.0","25306.0","-"
"Colorado","2662.0","1328.0","1334.0","-"
"Connecticut","1840.0","798.0","1042.0","-"
"Florida","43350.0","19474.0","23876.0","-"
"Georgia","4419.0","2076.0","2343.0","-"
"Illinois","7326.0","3630.0","3696.0","-"
"Maryland","2828.0","1300.0","1528.0","-"
"Massachusetts","5555.0","2494.0","3061.0","-"
"Nevada","3110.0","1467.0","1643.0","-"
"New Jersey","7313.0","3354.0","3959.0","-"
"New Mexico","1591.0","768.0","823.0","-"
"New York","22819.0","9536.0","13283.0","-"
"North Carolina","2833.0","1422.0","1411.0","-"
"Oregon","1678.0","903.0","775.0","-"
"Pennsylvania","3076.0","1425.0","1651.0","-"
"Texas","23755.0","11677.0","12078.0","-"
"Utah","1320.0","655.0","665.0","-"
"Virginia","2096.0","1012.0","1084.0","-"
"Washington","3063.0","1594.0","1469.0","-"
"Other","19590.0","9881.0","9709.0","-"
"Unknown","1351.0","743.0","593.0","15.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
