"Persons Naturalized During Fiscal Year 2011","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Iran","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","9286.0","4302.0","4984.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","577.0","301.0","276.0","-"
"25-34 years","1815.0","798.0","1017.0","-"
"35-44 years","1912.0","909.0","1003.0","-"
"45-54 years","1693.0","835.0","858.0","-"
"55-64 years","1374.0","622.0","752.0","-"
"65 years and over","1915.0","837.0","1078.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2017.0","1203.0","814.0","-"
"Married","5682.0","2634.0","3048.0","-"
"Other","1464.0","408.0","1056.0","-"
"Unknown","123.0","57.0","66.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1667.0","973.0","694.0","-"
"Service occupations","516.0","201.0","315.0","-"
"Sales and office occupations","690.0","319.0","371.0","-"
"Farming, fishing, and forestry occupations","3.0","3.0","-","-"
"Construction, extraction, maintenance and repair occupations","139.0","133.0","6.0","-"
"Production, transportation, and material moving occupations","379.0","312.0","67.0","-"
"Military","18.0","14.0","4.0","-"
"No occupation/not working outside home","3955.0","1404.0","2551.0","-"
"Homemakers","813.0","24.0","789.0","-"
"Students or children","927.0","379.0","548.0","-"
"Retirees","682.0","356.0","326.0","-"
"Unemployed","1533.0","645.0","888.0","-"
"Unknown","1919.0","943.0","976.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","165.0","84.0","81.0","-"
"California","5191.0","2403.0","2788.0","-"
"Colorado","85.0","27.0","58.0","-"
"Florida","231.0","99.0","132.0","-"
"Georgia","182.0","73.0","109.0","-"
"Illinois","214.0","105.0","109.0","-"
"Maryland","283.0","145.0","138.0","-"
"Massachusetts","124.0","54.0","70.0","-"
"Michigan","60.0","28.0","32.0","-"
"Minnesota","40.0","23.0","17.0","-"
"Nevada","99.0","45.0","54.0","-"
"New Jersey","130.0","58.0","72.0","-"
"New York","298.0","136.0","162.0","-"
"North Carolina","92.0","43.0","49.0","-"
"Ohio","73.0","35.0","38.0","-"
"Pennsylvania","83.0","33.0","50.0","-"
"Texas","647.0","310.0","337.0","-"
"Virginia","334.0","144.0","190.0","-"
"Washington","191.0","92.0","99.0","-"
"Other","641.0","308.0","333.0","-"
"Unknown","123.0","57.0","66.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
