"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Fort Smith, AR-OK","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","165.0","83.0","82.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","24.0","10.0","14.0","-"
"25-34 years","50.0","25.0","25.0","-"
"35-44 years","42.0","22.0","20.0","-"
"45-54 years","28.0","15.0","13.0","-"
"55-64 years","10.0","6.0","4.0","-"
"65 years and over","11.0","5.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","41.0","24.0","17.0","-"
"Married","114.0","53.0","61.0","-"
"Other","10.0","6.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","12.0","8.0","4.0","-"
"Professional and technical","11.0","4.0","7.0","-"
"Sales","D","D","D","-"
"Administrative support","7.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","62.0","35.0","27.0","-"
"Precision production, craft, repair","9.0","6.0","3.0","-"
"Service","10.0","4.0","6.0","-"
"Military","D","D","-","-"
"No occupation","36.0","17.0","19.0","-"
"Unknown","12.0","5.0","7.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Algeria","D","D","-","-"
"Bangladesh","D","-","D","-"
"Barbados","D","D","-","-"
"Brazil","D","-","D","-"
"Cambodia","D","-","D","-"
"Canada","D","D","-","-"
"China","D","-","D","-"
"Dominican Republic","D","D","D","-"
"El Salvador","8.0","5.0","3.0","-"
"Guatemala","4.0","D","D","-"
"Honduras","D","-","D","-"
"India","12.0","6.0","6.0","-"
"Korea","D","-","D","-"
"Laos","24.0","14.0","10.0","-"
"Mexico","21.0","10.0","11.0","-"
"Nicaragua","D","D","D","-"
"Pakistan","3.0","D","D","-"
"Philippines","6.0","3.0","3.0","-"
"Syria","4.0","D","D","-"
"Vietnam","57.0","32.0","25.0","-"
"Other","8.0","3.0","5.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
