"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Fort Wayne, IN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","247.0","129.0","118.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","20.0","7.0","13.0","-"
"25-34 years","82.0","46.0","36.0","-"
"35-44 years","83.0","39.0","44.0","-"
"45-54 years","27.0","16.0","11.0","-"
"55-64 years","19.0","13.0","6.0","-"
"65 years and over","16.0","8.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","38.0","27.0","11.0","-"
"Married","185.0","87.0","98.0","-"
"Other","24.0","15.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","19.0","D","D","-"
"Professional and technical","28.0","15.0","13.0","-"
"Sales","13.0","D","D","-"
"Administrative support","8.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","59.0","35.0","24.0","-"
"Precision production, craft, repair","6.0","D","D","-"
"Service","22.0","9.0","13.0","-"
"Military","-","-","-","-"
"No occupation","26.0","9.0","17.0","-"
"Unknown","66.0","38.0","28.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","4.0","D","D","-"
"Belarus","3.0","D","D","-"
"Bosnia and Herzegovina","22.0","13.0","9.0","-"
"Burma","8.0","D","D","-"
"Canada","9.0","4.0","5.0","-"
"China","9.0","4.0","5.0","-"
"Colombia","3.0","D","D","-"
"Germany","4.0","D","D","-"
"India","26.0","16.0","10.0","-"
"Indonesia","6.0","3.0","3.0","-"
"Iraq","9.0","9.0","-","-"
"Ireland","3.0","D","D","-"
"Laos","3.0","3.0","-","-"
"Mexico","35.0","15.0","20.0","-"
"Pakistan","6.0","D","D","-"
"Philippines","6.0","D","D","-"
"Russia","3.0","D","D","-"
"Serbia and Montenegro","3.0","D","D","-"
"Sri Lanka","3.0","D","D","-"
"Vietnam","24.0","10.0","14.0","-"
"Other","57.0","29.0","28.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
