"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Hattiesburg, MS","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","18.0","7.0","11.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","D","-"
"25-34 years","6.0","D","D","-"
"35-44 years","4.0","D","D","-"
"45-54 years","D","D","D","-"
"55-64 years","3.0","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","4.0","D","D","-"
"Married","9.0","4.0","5.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","5.0","D","D","-"
"Sales","-","-","-","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","-","-","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","D","D","D","-"
"Military","D","D","-","-"
"No occupation","5.0","-","5.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","D","-","D","-"
"China","3.0","D","D","-"
"Colombia","D","-","D","-"
"Czechoslovakia (former)","D","D","-","-"
"India","4.0","D","D","-"
"Mexico","D","-","D","-"
"Nicaragua","D","-","D","-"
"Poland","D","-","D","-"
"South Africa","3.0","D","D","-"
"United Kingdom","D","-","D","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
