"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Jacksonville, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1079.0","484.0","595.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","138.0","70.0","68.0","-"
"25-34 years","330.0","150.0","180.0","-"
"35-44 years","321.0","142.0","179.0","-"
"45-54 years","175.0","67.0","108.0","-"
"55-64 years","81.0","38.0","43.0","-"
"65 years and over","34.0","17.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","254.0","138.0","116.0","-"
"Married","740.0","318.0","422.0","-"
"Other","85.0","28.0","57.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","96.0","48.0","48.0","-"
"Professional and technical","132.0","56.0","76.0","-"
"Sales","71.0","26.0","45.0","-"
"Administrative support","94.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","78.0","49.0","29.0","-"
"Precision production, craft, repair","D","34.0","D","-"
"Service","147.0","56.0","91.0","-"
"Military","151.0","107.0","44.0","-"
"No occupation","177.0","44.0","133.0","-"
"Unknown","89.0","41.0","48.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","23.0","9.0","14.0","-"
"Bosnia and Herzegovina","85.0","42.0","43.0","-"
"Cambodia","14.0","7.0","7.0","-"
"Canada","21.0","9.0","12.0","-"
"Colombia","26.0","14.0","12.0","-"
"Cuba","31.0","12.0","19.0","-"
"Dominican Republic","15.0","5.0","10.0","-"
"Guyana","13.0","6.0","7.0","-"
"Haiti","36.0","16.0","20.0","-"
"India","50.0","18.0","32.0","-"
"Jamaica","34.0","15.0","19.0","-"
"Mexico","25.0","12.0","13.0","-"
"Nigeria","17.0","14.0","3.0","-"
"Peru","22.0","14.0","8.0","-"
"Philippines","171.0","69.0","102.0","-"
"Serbia and Montenegro","19.0","8.0","11.0","-"
"Trinidad and Tobago","14.0","5.0","9.0","-"
"Ukraine","20.0","6.0","14.0","-"
"United Kingdom","24.0","11.0","13.0","-"
"Vietnam","55.0","26.0","29.0","-"
"Other","363.0","165.0","198.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
