"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Kokomo, IN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","20.0","11.0","9.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","D","-"
"25-34 years","3.0","3.0","-","-"
"35-44 years","9.0","5.0","4.0","-"
"45-54 years","4.0","D","D","-"
"55-64 years","D","-","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","-","-"
"Married","16.0","7.0","9.0","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","6.0","D","D","-"
"Sales","D","D","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","-","-","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","-","-","-","-"
"Military","-","-","-","-"
"No occupation","5.0","D","D","-"
"Unknown","6.0","3.0","3.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","D","-","D","-"
"China","5.0","D","D","-"
"India","3.0","D","D","-"
"Iran","D","D","-","-"
"Korea","D","-","D","-"
"Lebanon","D","-","D","-"
"Malaysia","D","D","-","-"
"Mexico","D","-","D","-"
"Morocco","D","D","-","-"
"Pakistan","D","D","D","-"
"Philippines","D","D","-","-"
"Russia","D","D","-","-"
"United Kingdom","D","D","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
