"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Lakeland-Winter Haven, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","451.0","194.0","257.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","46.0","14.0","32.0","-"
"25-34 years","112.0","41.0","71.0","-"
"35-44 years","145.0","60.0","85.0","-"
"45-54 years","86.0","46.0","40.0","-"
"55-64 years","41.0","21.0","20.0","-"
"65 years and over","21.0","12.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","71.0","28.0","43.0","-"
"Married","324.0","139.0","185.0","-"
"Other","56.0","27.0","29.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","19.0","14.0","5.0","-"
"Professional and technical","39.0","14.0","25.0","-"
"Sales","19.0","8.0","11.0","-"
"Administrative support","18.0","D","D","-"
"Farming, forestry, fisheries","D","D","D","-"
"Operators, fabricators, laborers","36.0","22.0","14.0","-"
"Precision production, craft, repair","18.0","D","D","-"
"Service","68.0","26.0","42.0","-"
"Military","D","-","D","-"
"No occupation","46.0","9.0","37.0","-"
"Unknown","181.0","79.0","102.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","12.0","5.0","7.0","-"
"China","9.0","D","D","-"
"Colombia","8.0","3.0","5.0","-"
"Costa Rica","6.0","D","D","-"
"Cuba","17.0","10.0","7.0","-"
"Ecuador","5.0","D","D","-"
"Egypt","5.0","D","D","-"
"Germany","5.0","-","5.0","-"
"Haiti","46.0","17.0","29.0","-"
"Honduras","7.0","D","D","-"
"India","52.0","23.0","29.0","-"
"Ireland","5.0","D","D","-"
"Jamaica","62.0","28.0","34.0","-"
"Korea","7.0","D","D","-"
"Laos","11.0","5.0","6.0","-"
"Mexico","73.0","33.0","40.0","-"
"Nigeria","5.0","D","D","-"
"Philippines","10.0","4.0","6.0","-"
"United Kingdom","10.0","D","D","-"
"Vietnam","11.0","3.0","8.0","-"
"Other","85.0","44.0","41.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
