"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Lewiston-Auburn, ME","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","30.0","13.0","17.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","-","-"
"25-34 years","6.0","D","D","-"
"35-44 years","7.0","D","D","-"
"45-54 years","5.0","D","D","-"
"55-64 years","6.0","3.0","3.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","4.0","D","D","-"
"Married","21.0","9.0","12.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","-","D","-"
"Professional and technical","D","D","-","-"
"Sales","D","-","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","6.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","D","D","-"
"Military","-","-","-","-"
"No occupation","11.0","4.0","7.0","-"
"Unknown","5.0","3.0","2.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","D","D","D","-"
"Canada","4.0","D","D","-"
"China","4.0","-","4.0","-"
"Ethiopia","D","-","D","-"
"Germany","D","-","D","-"
"Guatemala","D","D","-","-"
"Hungary","3.0","D","D","-"
"Mexico","D","-","D","-"
"Poland","D","D","D","-"
"Somalia","8.0","5.0","3.0","-"
"Ukraine","D","D","D","-"
"United Kingdom","D","-","D","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
