"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Monroe, LA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","26.0","10.0","16.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","D","-","D","-"
"35-44 years","12.0","D","D","-"
"45-54 years","8.0","5.0","3.0","-"
"55-64 years","D","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","4.0","-","4.0","-"
"Married","16.0","7.0","9.0","-"
"Other","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","-","D","-"
"Professional and technical","15.0","5.0","10.0","-"
"Sales","-","-","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","D","-","-"
"Precision production, craft, repair","D","D","D","-"
"Service","D","D","-","-"
"Military","-","-","-","-"
"No occupation","D","-","D","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","D","-","D","-"
"China","D","D","D","-"
"Cyprus","D","D","-","-"
"Germany","D","-","D","-"
"Ghana","D","-","D","-"
"Guatemala","D","D","-","-"
"India","4.0","D","D","-"
"Israel","D","D","D","-"
"Italy","D","-","D","-"
"Jamaica","D","-","D","-"
"Jordan","D","-","D","-"
"Lithuania","D","-","D","-"
"Malaysia","D","-","D","-"
"South Africa","D","D","D","-"
"Syria","D","D","D","-"
"Vietnam","D","D","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
