"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Nashville, TN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","952.0","488.0","464.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","125.0","56.0","69.0","-"
"25-34 years","252.0","118.0","134.0","-"
"35-44 years","290.0","157.0","133.0","-"
"45-54 years","174.0","90.0","84.0","-"
"55-64 years","75.0","46.0","29.0","-"
"65 years and over","36.0","21.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","238.0","138.0","100.0","-"
"Married","624.0","306.0","318.0","-"
"Other","87.0","43.0","44.0","-"
"Unknown","3.0","1.0","2.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","38.0","27.0","11.0","-"
"Professional and technical","125.0","64.0","61.0","-"
"Sales","64.0","31.0","33.0","-"
"Administrative support","44.0","14.0","30.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","242.0","130.0","112.0","-"
"Precision production, craft, repair","31.0","27.0","4.0","-"
"Service","125.0","67.0","58.0","-"
"Military","D","D","-","-"
"No occupation","148.0","53.0","95.0","-"
"Unknown","131.0","71.0","60.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Afghanistan","11.0","7.0","4.0","-"
"Bosnia and Herzegovina","10.0","5.0","5.0","-"
"Canada","17.0","10.0","7.0","-"
"China","40.0","15.0","25.0","-"
"Egypt","69.0","44.0","25.0","-"
"Ethiopia","24.0","14.0","10.0","-"
"Germany","11.0","5.0","6.0","-"
"Haiti","12.0","7.0","5.0","-"
"India","90.0","49.0","41.0","-"
"Iran","43.0","19.0","24.0","-"
"Iraq","62.0","45.0","17.0","-"
"Korea","18.0","3.0","15.0","-"
"Laos","67.0","33.0","34.0","-"
"Mexico","34.0","17.0","17.0","-"
"Nigeria","38.0","20.0","18.0","-"
"Philippines","18.0","5.0","13.0","-"
"Somalia","36.0","15.0","21.0","-"
"Taiwan","13.0","5.0","8.0","-"
"United Kingdom","25.0","13.0","12.0","-"
"Vietnam","66.0","31.0","35.0","-"
"Other","248.0","126.0","122.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
