"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Oakland, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","13712.0","6199.0","7513.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1517.0","670.0","847.0","-"
"25-34 years","3645.0","1508.0","2137.0","-"
"35-44 years","3972.0","1903.0","2069.0","-"
"45-54 years","2240.0","1058.0","1182.0","-"
"55-64 years","1275.0","597.0","678.0","-"
"65 years and over","1063.0","463.0","600.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","3139.0","1604.0","1535.0","-"
"Married","9329.0","4226.0","5103.0","-"
"Other","1244.0","369.0","875.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","687.0","377.0","310.0","-"
"Professional and technical","1369.0","740.0","629.0","-"
"Sales","489.0","200.0","289.0","-"
"Administrative support","520.0","120.0","400.0","-"
"Farming, forestry, fisheries","23.0","D","D","-"
"Operators, fabricators, laborers","719.0","511.0","208.0","-"
"Precision production, craft, repair","276.0","219.0","57.0","-"
"Service","773.0","295.0","478.0","-"
"Military","13.0","D","D","-"
"No occupation","2576.0","777.0","1799.0","-"
"Unknown","6267.0","2927.0","3340.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Afghanistan","303.0","121.0","182.0","-"
"Burma","110.0","64.0","46.0","-"
"Canada","110.0","50.0","60.0","-"
"China","1914.0","809.0","1105.0","-"
"El Salvador","349.0","159.0","190.0","-"
"Ethiopia","118.0","48.0","70.0","-"
"Fiji","292.0","131.0","161.0","-"
"Hong Kong","432.0","194.0","238.0","-"
"India","1490.0","746.0","744.0","-"
"Iran","395.0","156.0","239.0","-"
"Korea","389.0","187.0","202.0","-"
"Mexico","1459.0","693.0","766.0","-"
"Nicaragua","139.0","63.0","76.0","-"
"Nigeria","112.0","57.0","55.0","-"
"Pakistan","217.0","109.0","108.0","-"
"Peru","177.0","63.0","114.0","-"
"Philippines","1715.0","688.0","1027.0","-"
"Taiwan","503.0","213.0","290.0","-"
"United Kingdom","174.0","94.0","80.0","-"
"Vietnam","778.0","342.0","436.0","-"
"Other","2526.0","1206.0","1320.0","-"
"Unknown","10.0","6.0","4.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
