"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Omaha, NE-IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","352.0","196.0","156.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","42.0","19.0","23.0","-"
"25-34 years","120.0","72.0","48.0","-"
"35-44 years","104.0","63.0","41.0","-"
"45-54 years","51.0","27.0","24.0","-"
"55-64 years","18.0","9.0","9.0","-"
"65 years and over","17.0","6.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","67.0","43.0","24.0","-"
"Married","247.0","136.0","111.0","-"
"Other","38.0","17.0","21.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","12.0","D","D","-"
"Professional and technical","24.0","15.0","9.0","-"
"Sales","7.0","D","D","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","53.0","39.0","14.0","-"
"Precision production, craft, repair","12.0","D","D","-"
"Service","16.0","8.0","8.0","-"
"Military","19.0","10.0","9.0","-"
"No occupation","33.0","15.0","18.0","-"
"Unknown","170.0","87.0","83.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bosnia and Herzegovina","5.0","D","D","-"
"Canada","4.0","-","4.0","-"
"China","10.0","5.0","5.0","-"
"Colombia","5.0","D","D","-"
"El Salvador","9.0","D","D","-"
"Germany","4.0","D","D","-"
"Guatemala","4.0","D","D","-"
"India","42.0","20.0","22.0","-"
"Korea","7.0","3.0","4.0","-"
"Mexico","93.0","62.0","31.0","-"
"Nigeria","7.0","3.0","4.0","-"
"Philippines","19.0","7.0","12.0","-"
"Poland","4.0","D","D","-"
"Sudan","18.0","D","D","-"
"Sweden","4.0","D","D","-"
"Togo","8.0","4.0","4.0","-"
"Ukraine","5.0","D","D","-"
"United Kingdom","8.0","3.0","5.0","-"
"Venezuela","4.0","D","D","-"
"Vietnam","16.0","9.0","7.0","-"
"Other","76.0","41.0","35.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
