"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Bakersfield, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","829.0","356.0","473.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","144.0","57.0","87.0","-"
"25-34 years","261.0","104.0","157.0","-"
"35-44 years","212.0","108.0","104.0","-"
"45-54 years","112.0","42.0","70.0","-"
"55-64 years","61.0","26.0","35.0","-"
"65 years and over","39.0","19.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","189.0","83.0","106.0","-"
"Married","579.0","251.0","328.0","-"
"Other","61.0","22.0","39.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","21.0","D","D","-"
"Professional and technical","86.0","26.0","60.0","-"
"Sales","41.0","18.0","23.0","-"
"Administrative support","27.0","10.0","17.0","-"
"Farming, forestry, fisheries","44.0","23.0","21.0","-"
"Operators, fabricators, laborers","86.0","65.0","21.0","-"
"Precision production, craft, repair","37.0","D","D","-"
"Service","59.0","18.0","41.0","-"
"Military","4.0","4.0","-","-"
"No occupation","204.0","56.0","148.0","-"
"Unknown","220.0","90.0","130.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bolivia","3.0","D","D","-"
"Burma","4.0","D","D","-"
"Cambodia","3.0","D","D","-"
"Canada","8.0","3.0","5.0","-"
"China","5.0","D","D","-"
"El Salvador","27.0","9.0","18.0","-"
"Guatemala","17.0","8.0","9.0","-"
"India","125.0","66.0","59.0","-"
"Iran","9.0","6.0","3.0","-"
"Korea","26.0","12.0","14.0","-"
"Mexico","359.0","154.0","205.0","-"
"Netherlands","4.0","D","D","-"
"Nigeria","4.0","D","D","-"
"Pakistan","17.0","7.0","10.0","-"
"Peru","7.0","3.0","4.0","-"
"Philippines","109.0","40.0","69.0","-"
"Syria","7.0","D","D","-"
"United Kingdom","6.0","-","6.0","-"
"Vietnam","13.0","5.0","8.0","-"
"Yemen","12.0","7.0","5.0","-"
"Other","64.0","22.0","42.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
