"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Scranton--Wilkes-Barre--Hazleton, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","179.0","78.0","101.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","22.0","11.0","11.0","-"
"25-34 years","43.0","20.0","23.0","-"
"35-44 years","46.0","19.0","27.0","-"
"45-54 years","36.0","12.0","24.0","-"
"55-64 years","20.0","11.0","9.0","-"
"65 years and over","12.0","5.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","40.0","23.0","17.0","-"
"Married","118.0","51.0","67.0","-"
"Other","21.0","4.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","5.0","D","D","-"
"Professional and technical","14.0","9.0","5.0","-"
"Sales","5.0","D","D","-"
"Administrative support","3.0","-","3.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","21.0","13.0","8.0","-"
"Precision production, craft, repair","3.0","D","D","-"
"Service","21.0","8.0","13.0","-"
"Military","-","-","-","-"
"No occupation","41.0","14.0","27.0","-"
"Unknown","66.0","27.0","39.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Azerbaijan","D","D","D","-"
"Bangladesh","5.0","D","D","-"
"Belarus","D","D","D","-"
"Bulgaria","4.0","D","D","-"
"China","14.0","4.0","10.0","-"
"Dominican Republic","10.0","4.0","6.0","-"
"Ecuador","3.0","-","3.0","-"
"Germany","3.0","-","3.0","-"
"India","21.0","7.0","14.0","-"
"Lebanon","4.0","D","D","-"
"Mexico","6.0","D","D","-"
"Nigeria","3.0","D","D","-"
"Peru","4.0","4.0","-","-"
"Poland","4.0","D","D","-"
"Romania","9.0","4.0","5.0","-"
"Russia","10.0","5.0","5.0","-"
"Soviet Union (former)","6.0","3.0","3.0","-"
"Ukraine","11.0","5.0","6.0","-"
"Uzbekistan","3.0","D","D","-"
"Vietnam","9.0","5.0","4.0","-"
"Other","46.0","22.0","24.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
