"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Syracuse, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","327.0","159.0","168.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","37.0","21.0","16.0","-"
"25-34 years","95.0","42.0","53.0","-"
"35-44 years","96.0","49.0","47.0","-"
"45-54 years","42.0","20.0","22.0","-"
"55-64 years","30.0","14.0","16.0","-"
"65 years and over","27.0","13.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","77.0","49.0","28.0","-"
"Married","215.0","100.0","115.0","-"
"Other","35.0","10.0","25.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","7.0","D","D","-"
"Professional and technical","60.0","32.0","28.0","-"
"Sales","12.0","D","D","-"
"Administrative support","13.0","3.0","10.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","51.0","34.0","17.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","29.0","18.0","11.0","-"
"Military","D","D","-","-"
"No occupation","83.0","30.0","53.0","-"
"Unknown","65.0","28.0","37.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","8.0","4.0","4.0","-"
"Bangladesh","8.0","D","D","-"
"Bosnia and Herzegovina","12.0","6.0","6.0","-"
"Canada","12.0","6.0","6.0","-"
"China","15.0","7.0","8.0","-"
"Cuba","5.0","D","D","-"
"Dominican Republic","5.0","D","D","-"
"Germany","5.0","D","D","-"
"Ghana","6.0","3.0","3.0","-"
"India","39.0","20.0","19.0","-"
"Israel","7.0","D","D","-"
"Italy","5.0","D","D","-"
"Jordan","6.0","-","6.0","-"
"Korea","8.0","5.0","3.0","-"
"Poland","6.0","D","D","-"
"Russia","9.0","5.0","4.0","-"
"Somalia","5.0","5.0","-","-"
"Ukraine","13.0","5.0","8.0","-"
"United Kingdom","8.0","5.0","3.0","-"
"Vietnam","56.0","30.0","26.0","-"
"Other","88.0","35.0","53.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
