"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Waterbury, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","249.0","100.0","149.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","33.0","13.0","20.0","-"
"25-34 years","62.0","21.0","41.0","-"
"35-44 years","79.0","35.0","44.0","-"
"45-54 years","35.0","16.0","19.0","-"
"55-64 years","31.0","11.0","20.0","-"
"65 years and over","9.0","4.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","52.0","23.0","29.0","-"
"Married","178.0","71.0","107.0","-"
"Other","19.0","6.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","3.0","D","D","-"
"Professional and technical","10.0","D","D","-"
"Sales","7.0","D","D","-"
"Administrative support","5.0","-","5.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","20.0","9.0","11.0","-"
"Precision production, craft, repair","3.0","3.0","-","-"
"Service","13.0","3.0","10.0","-"
"Military","-","-","-","-"
"No occupation","100.0","41.0","59.0","-"
"Unknown","88.0","38.0","50.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","43.0","16.0","27.0","-"
"Antigua and Barbuda","D","D","D","-"
"Barbados","D","-","D","-"
"Brazil","12.0","5.0","7.0","-"
"Canada","7.0","D","D","-"
"Cape Verde","7.0","D","D","-"
"China","5.0","D","D","-"
"Dominican Republic","18.0","4.0","14.0","-"
"Ecuador","7.0","3.0","4.0","-"
"Guyana","14.0","9.0","5.0","-"
"India","15.0","9.0","6.0","-"
"Jamaica","8.0","3.0","5.0","-"
"Macedonia","10.0","6.0","4.0","-"
"Pakistan","8.0","4.0","4.0","-"
"Philippines","8.0","D","D","-"
"Poland","7.0","3.0","4.0","-"
"Portugal","13.0","6.0","7.0","-"
"Romania","3.0","D","D","-"
"Turkey","3.0","D","D","-"
"Ukraine","3.0","D","D","-"
"Other","53.0","20.0","33.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
