"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Wilmington, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","40.0","14.0","26.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","6.0","D","D","-"
"25-34 years","8.0","D","D","-"
"35-44 years","10.0","4.0","6.0","-"
"45-54 years","5.0","D","D","-"
"55-64 years","7.0","3.0","4.0","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","9.0","D","D","-"
"Married","25.0","10.0","15.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","8.0","D","D","-"
"Sales","D","-","D","-"
"Administrative support","3.0","-","3.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","3.0","-","3.0","-"
"Precision production, craft, repair","-","-","-","-"
"Service","3.0","-","3.0","-"
"Military","D","D","-","-"
"No occupation","13.0","4.0","9.0","-"
"Unknown","4.0","-","4.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Argentina","D","-","D","-"
"Australia","D","-","D","-"
"Belgium","D","-","D","-"
"Bermuda","D","-","D","-"
"Bosnia and Herzegovina","D","-","D","-"
"Brazil","D","D","-","-"
"Bulgaria","D","D","-","-"
"Canada","8.0","3.0","5.0","-"
"China","3.0","-","3.0","-"
"Dominican Republic","D","D","-","-"
"Germany","D","-","D","-"
"Greece","D","-","D","-"
"India","4.0","D","D","-"
"Iran","D","-","D","-"
"Jordan","D","D","-","-"
"Korea","D","-","D","-"
"Mexico","D","-","D","-"
"Nigeria","D","D","-","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","D","-","D","-"
"Other","3.0","1.0","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
