"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Yakima, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","233.0","85.0","148.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","56.0","14.0","42.0","-"
"25-34 years","96.0","35.0","61.0","-"
"35-44 years","46.0","22.0","24.0","-"
"45-54 years","17.0","7.0","10.0","-"
"55-64 years","8.0","3.0","5.0","-"
"65 years and over","10.0","4.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","49.0","19.0","30.0","-"
"Married","161.0","57.0","104.0","-"
"Other","23.0","9.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","19.0","6.0","13.0","-"
"Sales","13.0","6.0","7.0","-"
"Administrative support","12.0","D","D","-"
"Farming, forestry, fisheries","20.0","D","D","-"
"Operators, fabricators, laborers","45.0","16.0","29.0","-"
"Precision production, craft, repair","12.0","12.0","-","-"
"Service","33.0","D","D","-"
"Military","D","-","D","-"
"No occupation","63.0","16.0","47.0","-"
"Unknown","13.0","6.0","7.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Afghanistan","D","D","-","-"
"Australia","D","-","D","-"
"Colombia","3.0","D","D","-"
"Dominican Republic","D","D","-","-"
"El Salvador","7.0","D","D","-"
"Fiji","D","-","D","-"
"Guatemala","D","D","-","-"
"India","D","-","D","-"
"Iran","D","D","D","-"
"Korea","6.0","D","D","-"
"Kyrgyzstan","D","-","D","-"
"Mexico","182.0","69.0","113.0","-"
"Netherlands","D","D","-","-"
"New Zealand","D","D","-","-"
"Panama","D","D","-","-"
"Philippines","14.0","D","D","-"
"Poland","D","-","D","-"
"Russia","D","D","D","-"
"Thailand","D","-","D","-"
"Vietnam","D","D","D","-"
"Other","2.0","-","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
