"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Cedar Rapids, IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","63.0","29.0","34.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","9.0","D","D","-"
"25-34 years","22.0","11.0","11.0","-"
"35-44 years","17.0","7.0","10.0","-"
"45-54 years","11.0","5.0","6.0","-"
"55-64 years","4.0","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","D","D","-"
"Married","42.0","19.0","23.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","4.0","D","D","-"
"Professional and technical","10.0","6.0","4.0","-"
"Sales","6.0","3.0","3.0","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","9.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","12.0","4.0","8.0","-"
"Military","-","-","-","-"
"No occupation","15.0","D","D","-"
"Unknown","4.0","3.0","1.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","3.0","3.0","-","-"
"China","D","-","D","-"
"Colombia","D","D","D","-"
"Congo, Democratic Republic of the","D","D","D","-"
"Congo, Republic of the","D","-","D","-"
"Egypt","D","-","D","-"
"Germany","3.0","D","D","-"
"Guyana","D","D","-","-"
"Honduras","D","-","D","-"
"India","9.0","D","D","-"
"Iran","3.0","D","D","-"
"Iraq","D","-","D","-"
"Ireland","D","D","-","-"
"Lebanon","7.0","-","7.0","-"
"Liberia","D","-","D","-"
"Mexico","3.0","D","D","-"
"Nepal","D","D","-","-"
"Somalia","D","D","D","-"
"Sudan","4.0","D","D","-"
"Vietnam","8.0","3.0","5.0","-"
"Other","7.0","3.0","4.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
