"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Champaign-Urbana, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","187.0","86.0","101.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","19.0","12.0","7.0","-"
"25-34 years","46.0","21.0","25.0","-"
"35-44 years","54.0","26.0","28.0","-"
"45-54 years","37.0","17.0","20.0","-"
"55-64 years","18.0","6.0","12.0","-"
"65 years and over","13.0","4.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","43.0","28.0","15.0","-"
"Married","129.0","54.0","75.0","-"
"Other","15.0","4.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","13.0","3.0","10.0","-"
"Professional and technical","22.0","14.0","8.0","-"
"Sales","7.0","D","D","-"
"Administrative support","5.0","-","5.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","10.0","D","D","-"
"Precision production, craft, repair","D","D","D","-"
"Service","14.0","5.0","9.0","-"
"Military","D","D","-","-"
"No occupation","15.0","6.0","9.0","-"
"Unknown","97.0","45.0","52.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Algeria","5.0","D","D","-"
"Argentina","3.0","D","D","-"
"Belarus","4.0","D","D","-"
"Belgium","3.0","D","D","-"
"Bosnia and Herzegovina","5.0","D","D","-"
"Canada","7.0","D","D","-"
"China","25.0","9.0","16.0","-"
"Colombia","3.0","D","D","-"
"India","18.0","8.0","10.0","-"
"Iran","3.0","D","D","-"
"Japan","3.0","-","3.0","-"
"Jordan","3.0","3.0","-","-"
"Korea","13.0","6.0","7.0","-"
"Laos","4.0","D","D","-"
"Mexico","7.0","3.0","4.0","-"
"Nepal","3.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Philippines","7.0","D","D","-"
"Russia","4.0","-","4.0","-"
"Vietnam","15.0","9.0","6.0","-"
"Other","49.0","23.0","26.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
