"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Charleston, WV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","66.0","29.0","37.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","6.0","D","D","-"
"25-34 years","16.0","9.0","7.0","-"
"35-44 years","18.0","7.0","11.0","-"
"45-54 years","18.0","8.0","10.0","-"
"55-64 years","4.0","D","D","-"
"65 years and over","4.0","-","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","9.0","8.0","-"
"Married","39.0","17.0","22.0","-"
"Other","10.0","3.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","18.0","9.0","9.0","-"
"Sales","11.0","D","D","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","-","-","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","14.0","D","D","-"
"Military","-","-","-","-"
"No occupation","D","D","6.0","-"
"Unknown","12.0","4.0","8.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Australia","D","-","D","-"
"Bangladesh","6.0","3.0","3.0","-"
"Bosnia and Herzegovina","D","-","D","-"
"Canada","D","D","-","-"
"China","8.0","4.0","4.0","-"
"Colombia","3.0","D","D","-"
"Dominican Republic","D","D","-","-"
"Ethiopia","D","-","D","-"
"Ghana","D","D","-","-"
"Hong Kong","D","D","-","-"
"India","10.0","4.0","6.0","-"
"Iran","3.0","D","D","-"
"Iraq","D","-","D","-"
"Kuwait","D","D","D","-"
"Lebanon","3.0","-","3.0","-"
"Nicaragua","D","-","D","-"
"Pakistan","D","-","D","-"
"Philippines","D","-","D","-"
"Syria","3.0","D","D","-"
"Vietnam","9.0","6.0","3.0","-"
"Other","8.0","3.0","5.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
