"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Clarksville-Hopkinsville, TN-KY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","130.0","59.0","71.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","17.0","8.0","9.0","-"
"25-34 years","64.0","35.0","29.0","-"
"35-44 years","36.0","12.0","24.0","-"
"45-54 years","D","4.0","D","-"
"55-64 years","D","-","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","24.0","D","D","-"
"Married","100.0","41.0","59.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","D","-"
"Professional and technical","8.0","D","D","-"
"Sales","4.0","D","D","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","17.0","8.0","9.0","-"
"Precision production, craft, repair","-","-","-","-"
"Service","10.0","D","D","-"
"Military","50.0","34.0","16.0","-"
"No occupation","16.0","4.0","12.0","-"
"Unknown","20.0","7.0","13.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Canada","D","D","D","-"
"Colombia","5.0","D","D","-"
"Dominica","D","D","D","-"
"Dominican Republic","D","-","D","-"
"Egypt","D","D","-","-"
"El Salvador","3.0","D","D","-"
"Germany","6.0","D","D","-"
"Haiti","3.0","3.0","-","-"
"Honduras","D","D","D","-"
"India","11.0","6.0","5.0","-"
"Jamaica","13.0","8.0","5.0","-"
"Korea","11.0","3.0","8.0","-"
"Liberia","5.0","D","D","-"
"Mexico","8.0","4.0","4.0","-"
"Nicaragua","D","D","D","-"
"Nigeria","3.0","D","D","-"
"Panama","9.0","D","D","-"
"Philippines","9.0","D","D","-"
"Trinidad and Tobago","5.0","D","D","-"
"United Kingdom","3.0","-","3.0","-"
"Other","24.0","15.0","9.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
