"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Columbia, MO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","111.0","51.0","60.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","11.0","D","D","-"
"25-34 years","23.0","7.0","16.0","-"
"35-44 years","41.0","19.0","22.0","-"
"45-54 years","24.0","14.0","10.0","-"
"55-64 years","8.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","7.0","8.0","-"
"Married","83.0","40.0","43.0","-"
"Other","13.0","4.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","7.0","D","D","-"
"Professional and technical","40.0","22.0","18.0","-"
"Sales","4.0","D","D","-"
"Administrative support","6.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","12.0","5.0","7.0","-"
"Precision production, craft, repair","4.0","D","D","-"
"Service","11.0","4.0","7.0","-"
"Military","-","-","-","-"
"No occupation","20.0","6.0","14.0","-"
"Unknown","7.0","2.0","5.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","D","D","-","-"
"Bolivia","D","D","D","-"
"Bosnia and Herzegovina","3.0","D","D","-"
"Cambodia","D","-","D","-"
"Canada","3.0","D","D","-"
"China","5.0","D","D","-"
"Colombia","D","-","D","-"
"Egypt","5.0","D","D","-"
"Eritrea","6.0","D","D","-"
"Germany","D","D","D","-"
"India","20.0","13.0","7.0","-"
"Iran","D","D","-","-"
"Korea","D","D","D","-"
"Mexico","8.0","4.0","4.0","-"
"Nigeria","D","D","D","-"
"Pakistan","5.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","4.0","D","D","-"
"Poland","4.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","25.0","10.0","15.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
