"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Columbus, GA-AL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","190.0","81.0","109.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","24.0","10.0","14.0","-"
"25-34 years","65.0","34.0","31.0","-"
"35-44 years","57.0","24.0","33.0","-"
"45-54 years","24.0","8.0","16.0","-"
"55-64 years","9.0","D","D","-"
"65 years and over","11.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","17.0","14.0","-"
"Married","138.0","60.0","78.0","-"
"Other","21.0","4.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","6.0","D","D","-"
"Professional and technical","10.0","4.0","6.0","-"
"Sales","7.0","D","D","-"
"Administrative support","8.0","3.0","5.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","6.0","D","D","-"
"Precision production, craft, repair","-","-","-","-"
"Service","10.0","D","D","-"
"Military","43.0","31.0","12.0","-"
"No occupation","20.0","5.0","15.0","-"
"Unknown","80.0","28.0","52.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Belize","3.0","D","D","-"
"Canada","4.0","D","D","-"
"China","6.0","D","D","-"
"Colombia","3.0","D","D","-"
"Dominican Republic","7.0","3.0","4.0","-"
"Germany","8.0","D","D","-"
"Ghana","3.0","D","D","-"
"Guyana","4.0","D","D","-"
"Haiti","3.0","D","D","-"
"India","22.0","8.0","14.0","-"
"Jamaica","8.0","D","D","-"
"Korea","16.0","D","D","-"
"Mexico","10.0","3.0","7.0","-"
"Nigeria","7.0","D","D","-"
"Panama","10.0","3.0","7.0","-"
"Philippines","5.0","D","D","-"
"Taiwan","8.0","4.0","4.0","-"
"Trinidad and Tobago","4.0","D","D","-"
"United Kingdom","4.0","-","4.0","-"
"Vietnam","9.0","6.0","3.0","-"
"Other","45.0","26.0","19.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
