"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Dallas, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5465.0","2554.0","2911.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","604.0","245.0","359.0","-"
"25-34 years","1589.0","686.0","903.0","-"
"35-44 years","1770.0","893.0","877.0","-"
"45-54 years","830.0","395.0","435.0","-"
"55-64 years","385.0","195.0","190.0","-"
"65 years and over","287.0","140.0","147.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1178.0","629.0","549.0","-"
"Married","3749.0","1723.0","2026.0","-"
"Other","537.0","201.0","336.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","453.0","279.0","174.0","-"
"Professional and technical","919.0","476.0","443.0","-"
"Sales","564.0","214.0","350.0","-"
"Administrative support","281.0","76.0","205.0","-"
"Farming, forestry, fisheries","4.0","4.0","-","-"
"Operators, fabricators, laborers","743.0","487.0","256.0","-"
"Precision production, craft, repair","135.0","D","D","-"
"Service","459.0","172.0","287.0","-"
"Military","23.0","D","D","-"
"No occupation","1177.0","314.0","863.0","-"
"Unknown","707.0","399.0","308.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","100.0","48.0","52.0","-"
"Cambodia","53.0","27.0","26.0","-"
"Canada","88.0","41.0","47.0","-"
"China","248.0","105.0","143.0","-"
"El Salvador","141.0","68.0","73.0","-"
"Ethiopia","166.0","80.0","86.0","-"
"India","732.0","363.0","369.0","-"
"Iran","155.0","71.0","84.0","-"
"Iraq","45.0","32.0","13.0","-"
"Jordan","53.0","27.0","26.0","-"
"Korea","167.0","77.0","90.0","-"
"Lebanon","53.0","34.0","19.0","-"
"Mexico","1096.0","508.0","588.0","-"
"Nigeria","174.0","91.0","83.0","-"
"Pakistan","209.0","95.0","114.0","-"
"Philippines","150.0","57.0","93.0","-"
"Taiwan","104.0","40.0","64.0","-"
"Thailand","46.0","18.0","28.0","-"
"United Kingdom","62.0","23.0","39.0","-"
"Vietnam","457.0","208.0","249.0","-"
"Other","1159.0","537.0","622.0","-"
"Unknown","7.0","4.0","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
