"Persons Naturalized During Fiscal Year 2003","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Dutchess County, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","364.0","154.0","210.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","27.0","12.0","15.0","-"
"25-34 years","83.0","30.0","53.0","-"
"35-44 years","125.0","54.0","71.0","-"
"45-54 years","63.0","29.0","34.0","-"
"55-64 years","42.0","19.0","23.0","-"
"65 years and over","24.0","10.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","65.0","32.0","33.0","-"
"Married","263.0","112.0","151.0","-"
"Other","36.0","10.0","26.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","26.0","14.0","12.0","-"
"Professional and technical","54.0","24.0","30.0","-"
"Sales","11.0","-","11.0","-"
"Administrative support","9.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","22.0","D","D","-"
"Precision production, craft, repair","D","D","D","-"
"Service","42.0","16.0","26.0","-"
"Military","-","-","-","-"
"No occupation","63.0","16.0","47.0","-"
"Unknown","128.0","60.0","68.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","15.0","10.0","5.0","-"
"China","16.0","10.0","6.0","-"
"Colombia","12.0","4.0","8.0","-"
"Dominican Republic","6.0","-","6.0","-"
"Ecuador","6.0","3.0","3.0","-"
"Germany","6.0","D","D","-"
"India","44.0","18.0","26.0","-"
"Ireland","7.0","3.0","4.0","-"
"Italy","7.0","3.0","4.0","-"
"Jamaica","45.0","16.0","29.0","-"
"Jordan","8.0","3.0","5.0","-"
"Korea","8.0","4.0","4.0","-"
"Nigeria","6.0","D","D","-"
"Peru","6.0","3.0","3.0","-"
"Philippines","9.0","D","D","-"
"Poland","12.0","4.0","8.0","-"
"Serbia and Montenegro","7.0","4.0","3.0","-"
"Taiwan","10.0","3.0","7.0","-"
"United Kingdom","10.0","D","D","-"
"Vietnam","12.0","5.0","7.0","-"
"Other","112.0","53.0","59.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
