"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Galveston-Texas City, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","333.0","147.0","186.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","38.0","19.0","19.0","-"
"25-34 years","88.0","31.0","57.0","-"
"35-44 years","113.0","53.0","60.0","-"
"45-54 years","52.0","26.0","26.0","-"
"55-64 years","30.0","14.0","16.0","-"
"65 years and over","12.0","4.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","53.0","30.0","23.0","-"
"Married","253.0","109.0","144.0","-"
"Other","27.0","8.0","19.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","24.0","13.0","11.0","-"
"Professional and technical","52.0","27.0","25.0","-"
"Sales","14.0","5.0","9.0","-"
"Administrative support","D","D","5.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","10.0","10.0","-","-"
"Precision production, craft, repair","7.0","7.0","-","-"
"Service","19.0","7.0","12.0","-"
"Military","D","D","-","-"
"No occupation","77.0","19.0","58.0","-"
"Unknown","121.0","55.0","66.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Algeria","4.0","D","D","-"
"Bangladesh","3.0","D","D","-"
"Bolivia","3.0","D","D","-"
"Cambodia","3.0","-","3.0","-"
"Canada","9.0","4.0","5.0","-"
"China","14.0","8.0","6.0","-"
"Colombia","5.0","D","D","-"
"Egypt","5.0","D","D","-"
"El Salvador","9.0","4.0","5.0","-"
"Germany","3.0","D","D","-"
"Honduras","5.0","D","D","-"
"India","41.0","20.0","21.0","-"
"Iran","9.0","3.0","6.0","-"
"Mexico","75.0","27.0","48.0","-"
"Pakistan","19.0","11.0","8.0","-"
"Philippines","13.0","6.0","7.0","-"
"Poland","4.0","D","D","-"
"Turkey","4.0","D","D","-"
"United Kingdom","10.0","4.0","6.0","-"
"Vietnam","26.0","13.0","13.0","-"
"Other","67.0","31.0","36.0","-"
"Unknown","2.0","-","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
