"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Iowa City, IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","107.0","58.0","49.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","14.0","D","D","-"
"25-34 years","30.0","16.0","14.0","-"
"35-44 years","32.0","15.0","17.0","-"
"45-54 years","19.0","8.0","11.0","-"
"55-64 years","9.0","D","D","-"
"65 years and over","3.0","3.0","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","22.0","D","D","-"
"Married","78.0","41.0","37.0","-"
"Other","5.0","D","D","-"
"Unknown","2.0","-","2.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","D","-"
"Professional and technical","25.0","16.0","9.0","-"
"Sales","3.0","D","D","-"
"Administrative support","D","D","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","13.0","10.0","3.0","-"
"Precision production, craft, repair","5.0","D","D","-"
"Service","11.0","5.0","6.0","-"
"Military","D","D","-","-"
"No occupation","26.0","15.0","11.0","-"
"Unknown","20.0","5.0","15.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Austria","D","D","-","-"
"Belgium","D","D","-","-"
"Bosnia and Herzegovina","9.0","4.0","5.0","-"
"Canada","D","D","D","-"
"China","9.0","5.0","4.0","-"
"Egypt","D","D","-","-"
"El Salvador","3.0","-","3.0","-"
"Ethiopia","3.0","-","3.0","-"
"Georgia","3.0","D","D","-"
"Ghana","3.0","3.0","-","-"
"India","5.0","D","D","-"
"Iran","5.0","D","D","-"
"Jordan","D","-","D","-"
"Kenya","D","D","-","-"
"Mexico","10.0","D","D","-"
"Philippines","D","D","-","-"
"Russia","5.0","D","D","-"
"Serbia and Montenegro","3.0","D","D","-"
"Sudan","13.0","4.0","9.0","-"
"Vietnam","D","-","D","-"
"Other","22.0","13.0","9.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
