"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Athens, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","56.0","27.0","29.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","8.0","D","D","-"
"25-34 years","15.0","7.0","8.0","-"
"35-44 years","17.0","10.0","7.0","-"
"45-54 years","11.0","4.0","7.0","-"
"55-64 years","D","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","16.0","6.0","10.0","-"
"Married","36.0","17.0","19.0","-"
"Other","3.0","3.0","-","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","D","-"
"Professional and technical","4.0","D","D","-"
"Sales","-","-","-","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","5.0","D","D","-"
"Precision production, craft, repair","-","-","-","-"
"Service","-","-","-","-"
"Military","D","D","-","-"
"No occupation","8.0","3.0","5.0","-"
"Unknown","34.0","15.0","19.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Argentina","D","D","-","-"
"Bosnia and Herzegovina","D","D","D","-"
"Brazil","D","-","D","-"
"Canada","D","D","-","-"
"China","4.0","D","D","-"
"Dominican Republic","D","-","D","-"
"Egypt","D","D","-","-"
"El Salvador","D","D","D","-"
"Ethiopia","D","D","-","-"
"Guatemala","D","-","D","-"
"India","4.0","D","D","-"
"Laos","3.0","D","D","-"
"Mexico","5.0","D","D","-"
"Pakistan","D","D","-","-"
"Peru","4.0","D","D","-"
"Philippines","3.0","-","3.0","-"
"Taiwan","3.0","D","D","-"
"Thailand","3.0","-","3.0","-"
"United Kingdom","D","D","D","-"
"Vietnam","D","-","D","-"
"Other","9.0","6.0","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
