"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: McAllen-Edinburg-Mission, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1000.0","507.0","493.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","126.0","57.0","69.0","-"
"25-34 years","300.0","150.0","150.0","-"
"35-44 years","222.0","124.0","98.0","-"
"45-54 years","144.0","71.0","73.0","-"
"55-64 years","130.0","63.0","67.0","-"
"65 years and over","78.0","42.0","36.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","189.0","90.0","99.0","-"
"Married","715.0","390.0","325.0","-"
"Other","96.0","27.0","69.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","48.0","31.0","17.0","-"
"Professional and technical","68.0","27.0","41.0","-"
"Sales","54.0","27.0","27.0","-"
"Administrative support","16.0","8.0","8.0","-"
"Farming, forestry, fisheries","10.0","D","D","-"
"Operators, fabricators, laborers","89.0","77.0","12.0","-"
"Precision production, craft, repair","17.0","17.0","-","-"
"Service","62.0","28.0","34.0","-"
"Military","6.0","D","D","-"
"No occupation","199.0","68.0","131.0","-"
"Unknown","431.0","213.0","218.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Argentina","D","D","-","-"
"Brazil","3.0","D","D","-"
"Cameroon","D","D","D","-"
"Canada","4.0","-","4.0","-"
"China","7.0","3.0","4.0","-"
"Colombia","5.0","D","D","-"
"Cuba","D","D","D","-"
"Dominican Republic","6.0","D","D","-"
"Egypt","D","D","-","-"
"El Salvador","4.0","D","D","-"
"Germany","5.0","D","D","-"
"Guatemala","3.0","-","3.0","-"
"India","4.0","D","D","-"
"Korea","7.0","D","D","-"
"Mexico","863.0","455.0","408.0","-"
"Pakistan","7.0","D","D","-"
"Peru","6.0","D","D","-"
"Philippines","41.0","12.0","29.0","-"
"Venezuela","3.0","D","D","-"
"Vietnam","6.0","3.0","3.0","-"
"Other","18.0","8.0","10.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
