"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Atlanta, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5622.0","2772.0","2850.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","578.0","250.0","328.0","-"
"25-34 years","1581.0","720.0","861.0","-"
"35-44 years","1726.0","910.0","816.0","-"
"45-54 years","950.0","497.0","453.0","-"
"55-64 years","466.0","237.0","229.0","-"
"65 years and over","321.0","158.0","163.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1310.0","714.0","596.0","-"
"Married","3656.0","1771.0","1885.0","-"
"Other","543.0","232.0","311.0","-"
"Unknown","113.0","55.0","58.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","267.0","158.0","109.0","-"
"Professional and technical","296.0","148.0","148.0","-"
"Sales","148.0","71.0","77.0","-"
"Administrative support","99.0","D","D","-"
"Farming, forestry, fisheries","D","D","D","-"
"Operators, fabricators, laborers","197.0","145.0","52.0","-"
"Precision production, craft, repair","D","46.0","D","-"
"Service","199.0","86.0","113.0","-"
"Military","53.0","42.0","11.0","-"
"No occupation","630.0","224.0","406.0","-"
"Unknown","3678.0","1814.0","1864.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Bangladesh","148.0","82.0","66.0","-"
"Bosnia and Herzegovina","145.0","78.0","67.0","-"
"Canada","99.0","50.0","49.0","-"
"China","141.0","61.0","80.0","-"
"Colombia","123.0","43.0","80.0","-"
"Ethiopia","181.0","74.0","107.0","-"
"Ghana","103.0","65.0","38.0","-"
"Haiti","89.0","49.0","40.0","-"
"India","606.0","305.0","301.0","-"
"Iran","147.0","63.0","84.0","-"
"Jamaica","207.0","100.0","107.0","-"
"Korea","272.0","126.0","146.0","-"
"Mexico","251.0","164.0","87.0","-"
"Nigeria","255.0","125.0","130.0","-"
"Pakistan","136.0","77.0","59.0","-"
"Philippines","69.0","20.0","49.0","-"
"Romania","86.0","40.0","46.0","-"
"Somalia","110.0","60.0","50.0","-"
"United Kingdom","102.0","57.0","45.0","-"
"Vietnam","605.0","321.0","284.0","-"
"Other","1740.0","808.0","932.0","-"
"Unknown","7.0","4.0","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
