"Persons Naturalized During Fiscal Year 2004","","","",""
"by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"MSA: Myrtle Beach, SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","138.0","61.0","77.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","15.0","7.0","8.0","-"
"25-34 years","40.0","20.0","20.0","-"
"35-44 years","34.0","15.0","19.0","-"
"45-54 years","24.0","7.0","17.0","-"
"55-64 years","18.0","9.0","9.0","-"
"65 years and over","7.0","3.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","32.0","20.0","12.0","-"
"Married","86.0","32.0","54.0","-"
"Other","18.0","7.0","11.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","14.0","6.0","8.0","-"
"Professional and technical","5.0","D","D","-"
"Sales","8.0","3.0","5.0","-"
"Administrative support","D","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","6.0","D","D","-"
"Precision production, craft, repair","D","D","-","-"
"Service","19.0","9.0","10.0","-"
"Military","-","-","-","-"
"No occupation","16.0","6.0","10.0","-"
"Unknown","65.0","27.0","38.0","-"
"","","","",""
"Top 20 countries of birth","","","",""
"Albania","12.0","7.0","5.0","-"
"Canada","12.0","6.0","6.0","-"
"China","D","-","D","-"
"Colombia","D","D","D","-"
"Dominican Republic","D","D","D","-"
"Ecuador","D","-","D","-"
"Germany","7.0","D","D","-"
"Guyana","D","D","-","-"
"India","10.0","3.0","7.0","-"
"Ireland","6.0","D","D","-"
"Israel","11.0","7.0","4.0","-"
"Japan","D","-","D","-"
"Mexico","7.0","D","D","-"
"Morocco","10.0","10.0","-","-"
"Philippines","7.0","D","D","-"
"Poland","3.0","D","D","-"
"Russia","D","D","D","-"
"Ukraine","D","D","D","-"
"United Kingdom","5.0","D","D","-"
"Vietnam","14.0","7.0","7.0","-"
"Other","18.0","4.0","14.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
